easting,northing,abundance
572499.4,145503.5,0.2
581301.7,150300.1,0
581699.8,150900.1,0.2
583602.3,147106,0
564607.9,133295.2,0.2
580303.3,151997.1,0.2
570801.2,135749.7,0.2
573301.2,143804.4,0
567801.5,142493.6,0
568600.9,124901.6,0.2
568803.1,140694.6,0
571496.8,135100.8,0.2
572202.5,141592.7,0
569599.4,122000,0.2
572198.7,124600.1,0.2
576198.7,143105.2,0.01
564800.2,137699.9,0.2
570009.3,147199,0.2
576503.9,143002.1,0
579901.4,150996.2,0.2
568100.1,142094.9,0.2
578502.8,140998.5,0.2
576109.9,148415,0.2
571572.9,123826,0.2
569697.1,121794.8,0.01
580306,152595.3,0
574603.9,122198.4,0.2
577997.3,140799.1,0.01
569301.9,141800.9,0
578101.7,140694.5,3
578403.1,139196.5,0.2
568801.8,142299.3,0
568127.4,129100.4,0
576598.5,141304.5,0
577300.1,140801.2,0.2
576098.9,148048.6,3
574897.8,143394.6,0.2
578400.7,150498.4,0.2
572999.6,147227.6,0
571122.5,124203,0.2
576200,143697.9,0
570604.5,132301.6,0.2
568399.6,144601.2,0.2
569700.8,124099.4,0
576304.5,132905.7,0
573798.4,144701.7,0
571325.6,123371.5,0.2
561243,143270.6,0.2
582903.8,148008.8,0.2
576401.6,145594.6,3
556725.4,149799.5,0.2
581102.6,147496.4,0.2
578901.5,145897.8,0.2
568343.2,126100.4,0.2
583295.3,147897.6,0.2
578801.4,145697,0.2
575600.5,142398.5,0.2
559759.4,145948.2,0
570601.6,126399.5,0.2
568699.4,126299.1,0.2
578499.4,146998.9,0.2
570501,134777.5,0
561077.2,142223.1,0.2
568199.1,126923.2,0.2
567494,129402.2,0.2
572202.6,124701.8,0.2
568325.9,130398.8,0.2
558229.8,148297.1,0
569189.5,133409.8,0.2
579502.3,146799.2,0.2
571000,122800,0.2
575000.6,145775,0.2
558928,150370.2,0
580001.8,147096.6,0.2
572201.4,133801.8,0.2
573001,147000.2,0.01
559275.4,151124,0
571098.2,146497.4,3
577501.2,145595,0
571898.9,133906.8,3
561026.6,143900.2,0.2
571051.1,146399.7,0.2
569921,133567.9,0.2
577001.9,144894.8,0
569400.3,131500.1,0.2
569402.9,124255.3,0.2
566898.4,128704.9,0.2
567033.4,128733,0.2
561029.3,142573.3,0.2
559298.5,146098.9,0.2
561650.3,144250.7,0.2
569177.4,146198.7,0
559399.1,146299.4,0
568898.6,146093,0
570525.5,133196.1,0.2
558978.9,150775.4,0
569946.4,145602.9,0
573528,145101.4,0
571003.5,146493.3,0
572700.4,145900.5,0
572496.9,147096.7,0
569772.6,134297.1,0
560976.8,142847.2,0.2
577197.6,133097,0.2
563606.7,140403,0.2
573303.3,146902.1,0.2
561305.9,142601.2,0.2
581700.8,147601.3,0.2
569001.5,124401.1,3
581610.7,147395.8,0.2
575301.5,143399.1,0.2
571797.9,134653.8,0
572599.1,146802.1,0
572705.1,134195.4,0
574750,146348.6,3
570900,135200,0.2
570709.9,122288.1,0
560901,142299.9,0.2
581100.4,154798.8,0.2
581097,154305.9,0.2
571498.3,135601.9,0.2
574702.8,143702,0.2
581199.1,154799.7,0.2
566906.4,128404.5,0.2
568200.2,139899.8,0
568000.3,127999.3,0
570099.3,141295.4,0
571399.4,141299.9,0
570000,124100,0
567302,142705.6,0.2
577904.8,141703.9,0
573801.8,144002.7,0.2
574267,145242,0
574875,145400,0
576247.8,146647.9,0
575126.3,146214.1,0
558686,150495,3
570650,145879,0
572576,145799,0
583827,148921,0.2
559682,150847,0
561167,150231,0
558221.8,151780,0.2
556686,150643,0.2
569928.4,146296.5,0.2
570001.6,133874.5,0
562926.6,133269.6,0.01
575375.2,146699.9,0
580123.9,147775.7,0.2
559406,146677,0.2
568463,126715,3
571942.6,146126.3,0.2
569199,121372,0
574873,144698,0
560411,145333,0.2
570169,146010,15
580304.8,147078.7,0
569795,133252,0
570196,133321.4,0.2
570227,145645.5,15
570267.8,134005.8,0.2
569380.1,133056.7,0.2
571280.1,145674.6,0.2
578843.4,146951,0.2
568568.2,132126.2,3
578147,147106,0.2
567443,128795,0.2
559038,146684,0.2
570749.6,146998.7,0
571199.4,133859.4,0
573297,122712,0.2
568421.6,142839.2,0
578231.9,145586.8,0.2
578798,132072,0.2
560161,149271,0.2
572682,125042,0.2
572983,133784,0.2
561319,149776,0
576651.2,141850.9,0
568125.1,143349.9,3
574025.1,144176.6,0.2
559727,148105,0.01
578077,132564,0
576116.2,134222,15
570883.7,134940.3,0.2
580876.9,148496.6,0
580549,148399.8,0
569848,128505,3
573345,146625.1,0
572997,122670,0.2
579233.8,146350.4,0
561307,146819,0.2
559050,148603,0.01
567680,143736,0.2
575479,144757,3
577175.1,141324.5,0
568019,143052,0.2
576905.09,148900,0
561475.5,144725.5,0.2
569719.2,144953.4,0.2
584904,150074,0.2
574649.8,146625,15
573924.6,146424.8,0.2
573300,134528,0.2
577525,148750,0
572100,134650,0
562009,145236,0.2
570871,147205,0.2
574024.6,140198.9,0.2
581075.5,153701.3,0.2
583099,147049,0.2
581123.8,146675.1,0
572858.6,140980,0.2
569700.8,144348.4,0.2
573001.4,137035,3
572950,134925,0
570286.3,136049.6,0.01
562625.6,146899.8,0.2
570071.3,142094.2,0.01
572540.2,144902.1,3
569802.4,136268.6,0
583275,149575,3
579785.7,145240.6,0.2
574764,146758,0
572793,124557,0
572945.7,123049.8,0.2
581351,151024.7,0
571127.6,145673.8,0.2
