easting,northing,abundance
575139.3,121032.1,0.2
572600,130000,3
578699.1,136499.2,3
578076,136824.3,3
572791.1,130001,0.01
578508.1,136447.7,3
577799.6,126297,0.2
581602.6,136003.3,3
579000.2,136502.1,37.5
580390.8,131206.1,3
579979.6,125113.6,0.2
579713.3,126380.6,0.2
577953.2,126367.3,0.2
579099.5,126315.5,0.2
579059.7,125383.8,3
580710.1,126347,0.2
579022.2,126207.6,3
580670.9,126348.4,0.2
579205.6,125078.1,0.2
578037.6,126409,3
578004.2,125329.5,0.2
563219,146338,0.2
565004,143462,0.2
583994,152783,15
572492.6,137664,0.2
581379.7,137749.9,15
580525.8,137224.8,0.2
573075.3,130849,15
578224.5,126575.1,0.2
568331,137532,3
582874,153225,0.2
582975.2,153650,3
575167,137251,15
582112.9,145111.3,0.2
577700.1,127074,15
576125,127300,15
577150,137549,15
579281.6,124630.2,3
581176,136034,0.2
577903.9,125558.2,15
565875,135599.2,0.2
570842,118704.9,3
576053.4,136301.8,0.2
577400,122951,15
583325,132624,3
571002.1,117025.8,0.2
578224,123526,3
578342,123919,0.2
572787.5,117489.2,0.2
579224.9,126601.5,0.2
578352.6,125122.8,0.2
580400,136150,3
572325,119773,3
579749.7,136350,3
578505,123758,3
