easting,northing,abundance
580303.3,151997.1,0.2
566900.2,135795.4,0.2
571096.7,120205,0.2
577901.1,139199.6,0.2
572600,130000,0.2
578892.5,140400.4,0.01
571897.7,120196.7,0.2
578076,136824.3,3
572791.1,130001,3
574799.7,149306,0.2
575302.8,124296.6,15
578798,136097,0.2
578501.7,125401.6,0.2
571300.9,119198.1,0.01
564902.3,135892.4,15
573199.9,119600.8,0.01
572790,119200,0.2
581800.3,139198.9,3
579899.2,125101.4,0.2
579599.8,127302.9,0.2
577601.9,137196.5,0.2
572099,117900.4,0.2
579975.2,125451.3,3
580320.4,126280,3
578659,125442.1,0.2
578925.1,125419.7,0.2
578957.5,126397.4,0.2
579206.9,125090.7,0.2
566303.8,138452.4,0.01
584276,152723,0.2
583540,146251,0.01
581297,134228,0.2
570375.4,121675.1,0.2
577761.1,138756.1,0.2
578979.2,144077.2,0.2
571275.3,120623,0.2
571291.3,119649.5,0.2
577076.1,137874.7,0.2
574207.2,130257.2,0.01
567397,135231,0.2
576600.7,123898.4,0.2
575526.4,124591.1,2
578037.2,138218.7,0.2
581550,141975,3
570204.8,117051.6,0.2
582112.9,145111.3,0.01
578550.1,125700.3,3
566724.3,135125.3,3
581176,136034,0.01
567825.3,136499.5,0.2
576800,137648,3
570842,118704.9,0.2
578402,137444,0.2
567025,136049,3
577352,152347,15
577489,136515.8,0.2
577175,152225,0.2
577523,152782,0.2
579985,136034.5,0.2
571751,119856,0.2
578850.8,136647.6,0.2
