easting,northing,abundance
579100.4,151800.4,0.2
578000.1,127403.4,0.2
577051.3,151421.4,0.2
578624,124900.8,0.2
575424.2,148146.1,15
572299.3,120103,3
575801.8,122501.7,3
567699.5,135898.8,0.2
579599.3,126198.6,15
579000,125099.2,0.2
578357.6,143628.6,3
571600.6,138301.1,3
575696,122696,0.2
572099.8,118101.7,3
579149.56,126813.48,0.2
578454.92,127133.81,3
578439.11,127104.02,0.2
580384,126010,15
580735,126895,0.2
577861.3,127677.7,0.2
577392.7,127634.3,0.2
579550,152800,0.2
584078.3,155077.5,15
575725,123575.3,3
570900.2,137500.1,0.2
580999.9,126550.1,15
579224.9,126601.5,0.2
578352.6,125122.8,15
