easting,northing,abundance
557747.6,149726.8,15
581301.7,150300.1,3
581699.8,150900.1,0.2
564607.9,133295.2,15
557469.5,147202.4,15
572202.5,141592.7,0.2
569599.4,122000,15
576198.7,143105.2,15
570009.3,147199,3
557146.5,150027.3,3
576503.9,143002.1,0.01
571572.9,123826,3
569697.1,121794.8,3
557682.6,150423.3,0.2
574897.8,143394.6,0.2
572999.6,147227.6,0.2
557726.2,147276.1,3
557846.9,147527.3,3
560221,142970.2,0.2
573798.4,144701.7,0.2
556973.9,147973.5,15
574599.1,147402.6,15
561243,143270.6,0.2
558697.6,151448.1,37.5
556725.4,149799.5,3
581102.6,147496.4,3
568343.2,126100.4,15
578801.4,145697,0.2
555900.3,148998.7,37.5
575600.5,142398.5,3
557699.9,149446.4,3
570601.6,126399.5,15
568699.4,126299.1,3
578499.4,146998.9,0.2
570501,134777.5,15
561077.2,142223.1,15
568199.1,126923.2,0.2
567494,129402.2,15
558229.8,148297.1,0.2
569189.5,133409.8,15
575000.6,145775,0.2
573001,147000.2,15
571098.2,146497.4,15
561026.6,143900.2,15
571051.1,146399.7,3
569921,133567.9,0.2
566766.3,121184,15
567217.1,119963.1,3
567203.5,121302.3,0.2
568299.9,121200.1,3
568600.9,119913.3,15
568499.9,119901.1,0.2
568001.3,119898.9,0.2
567899.8,119898.4,0.2
568299.9,119696.4,15
568201.9,119602.4,15
567499.3,119298.9,3
569400.3,131500.1,15
567397.1,119101.8,15
567795.9,120798.4,15
566799.5,120794.1,15
555805.8,146495.9,3
556075.3,145996.9,3
556700,145398.2,15
556500.7,147401.7,15
557399.3,148599,15
566898.4,128704.9,15
567033.4,128733,0.2
561029.3,142573.3,3
559403.6,144804.3,0.2
558901.4,144999.9,15
558901.9,145301.7,15
559400.1,144600.6,37.5
559298.5,146098.9,15
561650.3,144250.7,15
559399.1,146299.4,3
573528,145101.4,0.01
572496.9,147096.7,3
569772.6,134297.1,3
560976.8,142847.2,0.2
563606.7,140403,15
573303.3,146902.1,15
561305.9,142601.2,15
569001.5,124401.1,15
575301.5,143399.1,0.2
570900,135200,15
560737.6,143528.2,15
560901,142299.9,15
572004.8,148103.8,3
556700.3,149126.1,3
566906.4,128404.5,3
570000,124100,3
558686,150495,3
570650,145879,3
583827,148921,3
558221.8,151780,3
562926.6,133269.6,3
559406,146677,0.2
568463,126715,0.2
560411,145333,3
570169,146010,3
580304.8,147078.7,0.2
569380.1,133056.7,0.01
559038,146684,0.2
560161,149271,0.01
580549,148399.8,0.2
569848,128505,0.01
573345,146625.1,0.2
579233.8,146350.4,0.01
561307,146819,15
575479,144757,15
561475.5,144725.5,0.2
584904,150074,3
573924.6,146424.8,0.2
573300,134528,0.2
577525,148750,0.2
562009,145236,0.2
570871,147205,0.2
572950,134925,0.2
568688,129132,15
583275,149575,0.2
581351,151024.7,3
