easting,northing,abundance
564607.9,133295.2,0.2
568803.1,140694.6,15
572198.7,124600.1,0.01
576503.9,143002.1,3
578502.8,140998.5,0.2
574603.9,122198.4,0.01
580100,130200,0.2
578101.7,140694.5,37.5
568801.8,142299.3,15
576598.5,141304.5,15
577593.8,129095.2,0.2
577300.1,140801.2,3
574897.8,143394.6,3
564295.7,144405.6,3
566805.8,138599.4,0.2
575297.8,130796,0.2
575502.4,131701.7,3
575400.1,131097.7,3
570604.5,132301.6,3
575300,124700,0.2
580498.5,137599.3,0.2
579494,137398.3,0.2
576598,138495.7,0.2
569696.8,138099.7,0.2
584593.8,151895.1,0.2
569100,136100,0.01
576899.2,135300.6,0.2
581102.6,147496.4,0.01
583295.3,147897.6,0.2
578801.4,145697,0.2
577097.3,132101.7,0.2
572202.6,124701.8,0.2
558229.8,148297.1,0.2
575796,129984.7,0.2
573099.5,119599.5,0.2
576399.9,128498.4,3
580599.6,151189.7,15
575499.6,140299.8,0.2
576400.9,139495.3,3
575699.4,127700.4,0.2
573528,145101.4,0.2
581700.8,147601.3,0.2
581610.7,147395.8,0.2
570709.9,122288.1,3
580596.6,133307,0.2
568200.2,139899.8,15
570099.3,141295.4,3
576501.3,144798.9,3
570169,146010,0.01
580304.8,147078.7,0.2
570196,133321.4,0.2
569380.1,133056.7,0.01
567443,128795,3
571199.4,133859.4,0.01
569848,128505,0.2
577175.1,141324.5,0.2
566360.4,138988.8,0.2
574024.6,140198.9,0.2
581075.5,153701.3,0.2
562151.1,148075.6,0.01
570469.3,140698.1,0.01
581123.8,146675.1,0.2
572858.6,140980,3
564749.3,136624.1,0.2
573572.4,136995.4,0.01
578303.6,148842.6,0.2
566303.8,138452.4,0.2
568688,129132,0.2
572540.2,144902.1,3
563896.2,147901,0.2
569802.4,136268.6,3
579785.7,145240.6,0.01
581476.3,153775.8,0.2
570945.2,139458.6,0.2
584276,152723,0.2
583994,152783,0.2
566926.9,138078.1,3
581297,134228,3
570375.4,121675.1,0.2
575927.9,128449.8,3
583550,151349,0.2
573652.6,132433.2,3
577761.1,138756.1,0.2
581379.7,137749.9,3
583335.4,145409.1,0.2
581976.5,135748.4,3
576974.5,123426.3,0.2
574207.2,130257.2,0.2
578224.5,126575.1,3
582975.2,153650,3
576600.7,123898.4,0.2
576750.7,129474.4,0.2
578037.2,138218.7,0.2
580949.8,137675.4,0.2
582112.9,145111.3,0.01
578399.3,126000.6,0.2
