easting,northing,abundance
577901.1,139199.6,3
578598.4,151003,0.2
580306,152595.3,0.2
580100,130200,3
578403.1,139196.5,3
576200,143697.9,0.2
569004.4,138896.9,3
571491.2,136704.4,0.2
575197.5,136097.8,15
578699.1,135697.9,0.2
581994.8,140302.7,0.2
581989.9,139903.8,15
570696.1,117995.1,0.2
576144.9,122862.2,3
575963.5,123411.2,0.2
575424.2,148146.1,0.2
571000,122800,0.2
565400.3,144400.3,3
564497.7,145390,0.2
567033.4,128733,3
575801.8,122501.7,3
564297.7,142001.5,3
581701.1,141200.9,0.2
581701.1,141098.5,0.2
575696,122696,3
573712.5,120867.6,0.2
577204.8,149998.7,0.2
572599.1,146802.1,3
570900,135200,0.2
572196.4,137698.4,0.2
566906.4,128404.5,15
570227,145645.5,0.2
569380.1,133056.7,0.2
578231.9,145586.8,0.01
574649.8,146625,0.2
570286.3,136049.6,0.2
572540.2,144902.1,3
574641,148142.9,15
578799.6,151400.5,0.2
579785.7,145240.6,0.2
576027.9,148852.9,3
581156.7,152529.2,0.2
579861,153041,15
578979.2,144077.2,15
584775.4,154399.4,3
579424.7,152150.3,15
571150.1,129625,15
574725,121175.5,15
571275.3,120623,3
578764,151606,3
571291.3,119649.5,0.2
578037.2,138218.7,3
584078.3,155077.5,0.2
580000,153749,0.2
565100,142293,3
577349.5,124601.4,0.2
575725,123575.3,3
580599,142450,0.2
580949.8,137675.4,0.2
579360,138513,3
570629.3,117628.7,15
570842,118704.9,0.2
577489,136515.8,0.2
574764,146758,15
572671.6,119804.4,3
