easting,northing,abundance
579651.4,136898,0.2
577504,125410.4,0.01
581994.8,140302.7,0.2
580700,126300,0.2
566274.6,141005.1,0.2
576801.2,125097.5,0.01
565777,140310.9,0.2
580200.6,125803.9,0.2
580000.6,125598.8,0.01
577599.3,125597.3,0.01
578357.6,143628.6,3
571600.6,138301.1,0.2
581701.1,141098.5,0.01
580802.5,142999.3,0.2
581401.6,145079.7,0.01
580390.8,131206.1,3
580384,126010,0.01
577861.3,127677.7,0.2
577798.1,127536.7,0.01
578708.3,123582.4,0.01
575725,123575.3,0.2
580489.7,124797.4,0.2
579980.7,124534,0.2
579985,136034.5,0.2
