easting,northing,abundance
580303.3,151997.1,3
567801.5,142493.6,0.2
568803.1,140694.6,0.2
581099.6,141795.4,3
568100.1,142094.9,15
566805.8,138599.4,3
580498.5,137599.3,0.2
577390.6,137392.6,37.5
576598,138495.7,0.2
576899.1,140897,0.01
579595.4,135895.9,0.01
576997.9,128702.4,0.2
577097.3,132101.7,0.2
575305,138001.9,0.2
575600.6,138700.5,0.2
580599.6,151189.7,15
581495,141708.9,15
581800.3,139198.9,3
579600.8,135998.8,0.2
579705.7,139600.7,0.2
581199.1,154799.7,0.01
570099.3,141295.4,0.2
561319,149776,0.2
566360.4,138988.8,0.2
581075.5,153701.3,0.2
578303.6,148842.6,0.2
570945.2,139458.6,0.2
573425.2,142275.1,0.01
583540,146251,3
581297,134228,3
577761.1,138756.1,0.01
577446.5,124252,0.2
577174.9,138100,15
577076.1,137874.7,3
581976.5,135748.4,0.01
582675.7,153675.5,3
576750.7,129474.4,0.2
578037.2,138218.7,3
581550,141975,37.5
578921.2,137373.2,62.5
576800,137648,0.01
578402,137444,0.2
