easting,northing,abundance
557747.6,149726.8,3
572499.4,145503.5,3
581699.8,150900.1,0.2
583602.3,147106,15
564607.9,133295.2,3
580303.3,151997.1,15
570801.2,135749.7,3
567801.5,142493.6,15
557469.5,147202.4,0.2
568600.9,124901.6,15
568803.1,140694.6,0.2
571096.7,120205,0.2
571496.8,135100.8,0.2
572198.7,124600.1,0.2
576198.7,143105.2,0.2
579004.1,125798.8,0.2
564800.2,137699.9,3
570009.3,147199,3
576503.9,143002.1,0.2
579901.4,150996.2,3
578598.3,126794.5,0.2
568100.1,142094.9,3
578502.8,140998.5,0.2
577901.1,139199.6,0.2
571572.9,123826,3
569697.1,121794.8,3
577997.3,140799.1,0.2
578101.7,140694.5,0.2
578403.1,139196.5,0.2
557682.6,150423.3,0.2
577300.1,140801.2,0.2
576098.9,148048.6,3
574897.8,143394.6,0.2
572092.5,148403.3,0.2
573900.5,119998.2,0.2
578400.7,150498.4,3
572898.6,141798.5,0.2
571122.5,124203,0.2
572600,130000,0.2
575400.1,131097.7,0.2
557726.2,147276.1,0.2
576304.5,132905.7,3
579494,137398.3,3
557846.9,147527.3,0.01
580903.4,141096.7,3
578892.5,140400.4,0.2
572597.3,133004.7,0.2
573798.4,144701.7,0.2
569100,136100,0.2
579197.2,135997,0.2
556973.9,147973.5,15
571325.6,123371.5,3
574599.1,147402.6,0.2
561243,143270.6,0.2
576899.2,135300.6,3
571491.2,136704.4,0.2
575302.8,124296.6,0.2
582903.8,148008.8,3
558697.6,151448.1,3
576401.6,145594.6,15
556725.4,149799.5,15
581102.6,147496.4,0.2
572499.3,142499.1,0.2
569596.2,118697.6,0.2
564005.6,135995.5,0.2
578901.5,145897.8,0.2
583295.3,147897.6,3
571300.9,119198.1,0.2
578801.4,145697,3
555900.3,148998.7,3
557699.9,149446.4,15
559759.4,145948.2,0.2
570601.6,126399.5,0.2
578499.4,146998.9,0.2
577097.3,132101.7,0.2
561077.2,142223.1,3
575305,138001.9,0.2
567494,129402.2,3
572202.6,124701.8,3
568325.9,130398.8,3
558229.8,148297.1,15
569189.5,133409.8,0.2
579502.3,146799.2,0.2
571000,122800,0.2
567495.4,138403.1,3
575000.6,145775,3
558928,150370.2,3
580001.8,147096.6,3
572201.4,133801.8,15
573001,147000.2,0.2
559275.4,151124,3
571098.2,146497.4,0.2
571898.9,133906.8,0.2
575796,129984.7,0.2
561026.6,143900.2,0.2
580201.8,150796.7,0.2
582198.2,152691.8,0.2
569921,133567.9,3
566766.3,121184,3
576399.9,128498.4,3
575600.6,138700.5,3
566921.6,119499.3,15
567217.1,119963.1,3
564300.4,147498,0.2
582302.9,146696.1,0.2
577001.9,144894.8,3
567203.5,121302.3,3
580599.6,151189.7,0.2
567201.5,121101.7,15
568299.9,121200.1,15
568600.9,119913.3,15
568499.9,119901.1,15
568001.3,119898.9,15
567899.8,119898.4,15
568299.9,119696.4,3
568201.9,119602.4,3
567499.3,119298.9,3
569400.3,131500.1,0.2
567397.1,119101.8,3
567795.9,120798.4,15
566799.5,120794.1,15
555197.8,146597.1,15
555805.8,146495.9,3
556075.3,145996.9,3
556700,145398.2,15
556095.9,147396.3,0.01
556500.7,147401.7,0.2
557399.3,148599,0.2
556396.8,146594.9,0.2
561029.3,142573.3,15
559403.6,144804.3,3
558901.4,144999.9,3
559400.1,144600.6,0.2
559298.5,146098.9,3
575499.6,140299.8,0.2
561650.3,144250.7,0.2
577104.4,139798.9,0.2
576400.9,139495.3,3
572790,119200,0.2
581800.3,139198.9,0.2
571003.5,146493.3,3
572700.4,145900.5,3
569772.6,134297.1,15
567204.4,135794.2,3
560976.8,142847.2,0.2
563606.7,140403,3
573303.3,146902.1,3
577204.8,149998.7,0.2
561305.9,142601.2,3
581700.8,147601.3,0.2
569001.5,124401.1,3
575301.5,143399.1,0.2
570900,135200,0.2
570709.9,122288.1,0.2
560737.6,143528.2,0.2
560901,142299.9,15
572004.8,148103.8,0.2
580596.6,133307,0.2
579103.4,152501.4,3
581100.4,154798.8,0.2
571498.3,135601.9,3
574702.8,143702,3
581199.1,154799.7,3
556700.3,149126.1,0.2
566906.4,128404.5,3
568200.2,139899.8,0.2
570099.3,141295.4,3
570000,124100,3
576501.3,144798.9,0.2
565990.8,142202.1,0.01
577904.8,141703.9,0.2
573801.8,144002.7,3
569696.8,142495.1,0.2
580747.05,126947.96,3
579713.3,126380.6,3
579856.2,126390.9,0.2
577877,126293.4,3
580710.1,126347,3
579022.2,126207.6,0.2
578925.1,125419.7,0.2
578146.2,125630.2,15
580380.3,126279.7,3
574875,145400,0.2
576247.8,146647.9,0.2
558686,150495,0.2
570650,145879,0.2
572576,145799,3
583827,148921,3
559682,150847,15
558221.8,151780,15
556686,150643,3
569928.4,146296.5,3
570001.6,133874.5,0.2
575375.2,146699.9,3
580123.9,147775.7,3
559406,146677,3
568463,126715,0.2
574873,144698,3
560411,145333,0.2
570169,146010,0.2
570196,133321.4,3
570227,145645.5,15
571280.1,145674.6,3
578843.4,146951,0.2
578147,147106,15
559038,146684,3
573297,122712,3
568421.6,142839.2,0.2
578231.9,145586.8,0.2
578798,132072,0.2
560161,149271,15
572682,125042,3
572983,133784,0.2
561319,149776,15
576651.2,141850.9,3
568125.1,143349.9,15
574025.1,144176.6,3
559727,148105,0.01
578077,132564,0.2
576116.2,134222,0.2
570883.7,134940.3,3
573345,146625.1,0.2
572997,122670,3
579233.8,146350.4,0.01
561307,146819,0.2
559050,148603,3
567680,143736,3
577175.1,141324.5,0.2
568019,143052,3
576905.09,148900,3
561475.5,144725.5,15
569719.2,144953.4,0.2
584904,150074,0.2
574649.8,146625,3
573924.6,146424.8,0.2
562009,145236,0.2
570871,147205,15
567446,138626.5,0.2
573769.5,138667.8,0.2
574024.6,140198.9,0.2
581075.5,153701.3,3
583099,147049,3
572858.6,140980,3
566924.1,139722.5,0.2
569700.8,144348.4,0.2
564749.3,136624.1,3
573001.4,137035,3
570286.3,136049.6,0.2
562625.6,146899.8,3
570071.3,142094.2,0.2
573572.4,136995.4,0.2
566303.8,138452.4,0.2
570875,121803,3
572073,144176,0.2
563896.2,147901,0.2
583275,149575,0.2
570945.2,139458.6,0.2
573425.2,142275.1,0.2
584276,152723,3
573600,124274.2,0.2
583540,146251,3
566926.9,138078.1,0.2
572492.6,137664,3
576317,139872.7,0.2
571125,136374.6,3
583649.2,151723.5,0.2
576497,123186,0.2
581156.7,152529.2,0.2
564950,143883,0.2
577761.1,138756.1,0.2
584775.4,154399.4,0.2
581077.6,151499,3
583335.4,145409.1,0.2
577446.5,124252,15
577174.9,138100,3
582874,153225,0.2
570326,118574.8,3
582675.7,153675.5,0.01
575725,123575.3,3
582112.9,145111.3,3
565875,135599.2,0.2
578402,137444,0.2
579224,140473,3
575825,137074.4,3
571127.6,145673.8,3
