easting,northing,abundance
581699.8,150900.1,0.2
570801.2,135749.7,0.2
570009.3,147199,0.2
579901.4,150996.2,0.01
568100.1,142094.9,0.2
577901.1,139199.6,0.01
571572.9,123826,0.2
577997.3,140799.1,0.01
571122.5,124203,0.01
571325.6,123371.5,0.2
561243,143270.6,0.2
582903.8,148008.8,0.2
558697.6,151448.1,0.2
576401.6,145594.6,0.2
581102.6,147496.4,0.2
568343.2,126100.4,0.2
578801.4,145697,0.2
555900.3,148998.7,0.2
570601.6,126399.5,0.2
570501,134777.5,3
572202.6,124701.8,0.01
558229.8,148297.1,0.2
558928,150370.2,0.2
569921,133567.9,0.2
556075.3,145996.9,0.2
556700,145398.2,3
566898.4,128704.9,0.2
567033.4,128733,0.2
561029.3,142573.3,3
560976.8,142847.2,0.2
563606.7,140403,0.2
569001.5,124401.1,0.2
568463,126715,3
570227,145645.5,0.01
560161,149271,0.2
559727,148105,0.01
576116.2,134222,15
572997,122670,0.01
561475.5,144725.5,15
570871,147205,0.01
572073,144176,3
