easting,northing,abundance
566900.2,135795.4,0.2
567200.1,136397.2,3
574603.9,122198.4,0.2
573900.5,119998.2,3
572600,130000,0.2
575300,124700,0.2
580498.5,137599.3,0.2
562699.6,134995.7,0.2
579494,137398.3,0.2
576598,138495.7,0.2
572597.3,133004.7,0.2
582698.6,152999.7,0.2
579499.3,125899.1,0.2
579595.4,135895.9,15
574799.7,149306,0.2
575302.8,124296.6,0.2
578507.5,136296,15
579695.7,135690.8,0.2
572499.3,142499.1,0.2
578009.1,135297,0.2
572099.2,119498.8,0.01
575963.5,123411.2,0.2
578685.1,124961.7,3
575305,138001.9,3
578097.3,126797.3,3
571100.3,118396.6,0.2
580201.8,150796.7,0.2
573099.5,119599.5,0.2
582198.2,152691.8,0.2
573199.9,119600.8,0.2
576399.9,128498.4,15
565503.8,139301.8,0.2
580308.3,125895.5,3
577104.4,139798.9,0.2
576400.9,139495.3,15
581495,141708.9,15
579299.8,125801.8,0.2
579600.8,135998.8,3
580101.4,125999.7,37.5
581600.9,135899.4,3
579498.5,126100.5,3
572403.8,118198.8,0.2
577204.8,149998.7,3
572099,117900.4,0.2
581100.4,154798.8,15
568200.2,139899.8,0.2
580805.96,127042.88,0.2
567446,138626.5,0.2
569700.8,144348.4,0.2
564749.3,136624.1,0.2
570945.2,139458.6,0.2
573425.2,142275.1,0.2
573600,124274.2,0.2
566926.9,138078.1,0.2
572492.6,137664,0.2
570375.4,121675.1,0.2
564950,143883,0.2
571275.3,120623,0.2
581379.7,137749.9,0.2
580525.8,137224.8,0.01
577174.9,138100,0.2
577076.1,137874.7,3
576974.5,123426.3,0.2
574207.2,130257.2,0.2
578224.5,126575.1,0.2
575526.4,124591.1,3
570326,118574.8,3
573268.3,130105.2,0.2
576750.7,129474.4,0.2
578921.2,137373.2,0.2
566724.3,135125.3,0.2
565875,135599.2,0.2
570652.4,118626.4,0.2
578402,137444,0.2
578224,123526,0.01
571751,119856,0.2
572671.6,119804.4,3
580400,136150,3
