easting,northing,abundance
579100.4,151800.4,0.2
581301.7,150300.1,3
581699.8,150900.1,15
583602.3,147106,0.2
564607.9,133295.2,3
580303.3,151997.1,3
573301.2,143804.4,0.2
568600.9,124901.6,3
568803.1,140694.6,0.2
571496.8,135100.8,0.2
565500,137700,0.2
572198.7,124600.1,3
564800.2,137699.9,15
557146.5,150027.3,0.2
576503.9,143002.1,3
579901.4,150996.2,0.2
568100.1,142094.9,0.2
578502.8,140998.5,0.2
571572.9,123826,0.2
569697.1,121794.8,0.2
574603.9,122198.4,15
577997.3,140799.1,0.01
574582.1,121850,0.2
578101.7,140694.5,0.2
568801.8,142299.3,3
576598.5,141304.5,0.2
557682.6,150423.3,15
577300.1,140801.2,0.2
574897.8,143394.6,0.2
564295.7,144405.6,3
572092.5,148403.3,0.2
578400.7,150498.4,0.2
566805.8,138599.4,0.01
572999.6,147227.6,0.2
571122.5,124203,0.2
575502.4,131701.7,0.01
575400.1,131097.7,0.2
570604.5,132301.6,3
568399.6,144601.2,0.2
580498.5,137599.3,0.2
557726.2,147276.1,0.2
569700.8,124099.4,3
576304.5,132905.7,0.2
580903.4,141096.7,0.2
578892.5,140400.4,3
576899.1,140897,3
572597.3,133004.7,3
560221,142970.2,0.2
569696.8,138099.7,0.2
584593.8,151895.1,3
569100,136100,0.2
571325.6,123371.5,0.2
581500.1,146293.7,3
574599.1,147402.6,0.2
582698.6,152999.7,0.2
561243,143270.6,0.2
576899.2,135300.6,0.2
575302.8,124296.6,0.2
582903.8,148008.8,3
576401.6,145594.6,3
578699.1,135697.9,0.2
581102.6,147496.4,3
572499.3,142499.1,3
569596.2,118697.6,3
564005.6,135995.5,0.2
568343.2,126100.4,3
583295.3,147897.6,0.2
571300.9,119198.1,0.2
578801.4,145697,0.2
575600.5,142398.5,3
570601.6,126399.5,0.2
568699.4,126299.1,15
578499.4,146998.9,0.2
568199.1,126923.2,0.2
568325.9,130398.8,3
580001.8,147096.6,0.2
572201.4,133801.8,0.2
575796,129984.7,0.2
571051.1,146399.7,0.2
582198.2,152691.8,0.2
569921,133567.9,0.2
566766.3,121184,0.2
576399.9,128498.4,3
575600.6,138700.5,3
566921.6,119499.3,0.2
582302.9,146696.1,0.2
577001.9,144894.8,15
580599.6,151189.7,0.2
565503.8,139301.8,0.2
567201.5,121101.7,0.2
568299.9,121200.1,0.2
575301.1,128999.3,0.2
569400.3,131500.1,3
556075.3,145996.9,0.2
556095.9,147396.3,15
566898.4,128704.9,0.2
559403.6,144804.3,3
561650.3,144250.7,3
572790,119200,15
575699.4,127700.4,0.2
570525.5,133196.1,3
563095.1,148098.7,3
573528,145101.4,0.2
571003.5,146493.3,0.01
572496.9,147096.7,0.2
563606.7,140403,0.2
573303.3,146902.1,0.2
581700.8,147601.3,0.2
581610.7,147395.8,0.2
575301.5,143399.1,0.2
574750,146348.6,0.2
570900,135200,0.2
570709.9,122288.1,0.2
560901,142299.9,0.2
580596.6,133307,3
579503.2,125604.8,0.2
581097,154305.9,0.2
574702.8,143702,0.2
556700.3,149126.1,0.2
568200.2,139899.8,3
568000.3,127999.3,0.2
570099.3,141295.4,0.2
571399.4,141299.9,0.2
570000,124100,0.2
576501.3,144798.9,3
577904.8,141703.9,3
573801.8,144002.7,3
569696.8,142495.1,15
580320.4,126280,0.2
579099.5,126315.5,0.2
579022.2,126207.6,0.01
578957.5,126397.4,0.2
558686,150495,3
570650,145879,0.2
558221.8,151780,0.2
556686,150643,3
570001.6,133874.5,0.2
562926.6,133269.6,0.2
559406,146677,3
569199,121372,0.01
560411,145333,0.2
580304.8,147078.7,3
570196,133321.4,0.01
578147,147106,3
567443,128795,0.01
559038,146684,3
570749.6,146998.7,0.2
571199.4,133859.4,0.2
573297,122712,15
568421.6,142839.2,3
578231.9,145586.8,0.2
578798,132072,0.2
572682,125042,0.2
572983,133784,0.2
561319,149776,0.01
576651.2,141850.9,0.2
574025.1,144176.6,0.2
559727,148105,3
578077,132564,0.2
570883.7,134940.3,0.2
561307,146819,0.2
559050,148603,3
567680,143736,0.2
575479,144757,0.2
577175.1,141324.5,0.2
568019,143052,3
576905.09,148900,3
561475.5,144725.5,15
569719.2,144953.4,0.2
584904,150074,0.2
573924.6,146424.8,0.2
562009,145236,3
570871,147205,0.01
567446,138626.5,15
566360.4,138988.8,0.2
574024.6,140198.9,0.01
581075.5,153701.3,0.2
583099,147049,0.2
570469.3,140698.1,0.2
581123.8,146675.1,0.2
572858.6,140980,3
566924.1,139722.5,3
569700.8,144348.4,15
564749.3,136624.1,3
572297.5,126446.6,0.2
562625.6,146899.8,0.2
578303.6,148842.6,3
566303.8,138452.4,3
570875,121803,0.2
572073,144176,15
563219,146338,0.2
563896.2,147901,0.2
569802.4,136268.6,3
583275,149575,3
579785.7,145240.6,0.2
565411,134801,0.2
581476.3,153775.8,0.2
570945.2,139458.6,0.2
573425.2,142275.1,0.2
584276,152723,3
565004,143462,0.2
573600,124274.2,0.2
583540,146251,0.2
566926.9,138078.1,3
579525,140325,0.2
570972,121569,0.2
572492.6,137664,0.2
581297,134228,0.2
571125,136374.6,3
583649.2,151723.5,0.2
575697,135312,3
570375.4,121675.1,15
575927.9,128449.8,0.2
576497,123186,0.01
583550,151349,15
577761.1,138756.1,3
581077.6,151499,0.2
571275.3,120623,0.2
578753.8,125899.1,0.01
583335.4,145409.1,0.2
578224.5,126575.1,0.2
582874,153225,3
576600.7,123898.4,0.2
575526.4,124591.1,3
570326,118574.8,0.01
576750.7,129474.4,0.2
570204.8,117051.6,3
578550.1,125700.3,0.01
580999.9,126550.1,0.2
572793,124557,3
581351,151024.7,15
579224,140473,0.2
579224.9,126601.5,0.2
