easting,northing,abundance
576200,143697.9,0.2
575400.1,131097.7,0.01
581500.1,146293.7,0.2
569004.4,138896.9,0.2
582698.6,152999.7,0.01
575197.5,136097.8,0.2
568400,141500,0.01
564497.7,145390,0.2
564401.8,142100,0.01
583702.1,145787.8,0.2
565777,140310.9,0.01
572599.1,146802.1,0.2
579103.4,152501.4,0.01
572196.4,137698.4,0.2
571399.4,141299.9,0.2
576501.3,144798.9,0.01
579233.8,146350.4,0.01
564749.3,136624.1,0.01
570195,140281,0.01
576497,123186,0.01
571291.3,119649.5,0.2
574207.2,130257.2,0.2
575526.4,124591.1,0.2
565100,142293,0.2
579360,138513,0.01
570629.3,117628.7,0.01
579985,136034.5,0.2
