easting,northing,abundance
581301.7,150300.1,0.2
581699.8,150900.1,0.2
583602.3,147106,0.2
568600.9,124901.6,0.2
564800.2,137699.9,0.2
570009.3,147199,0.2
576503.9,143002.1,0.2
579901.4,150996.2,0.2
571572.9,123826,0.2
557682.6,150423.3,0.2
576098.9,148048.6,0.2
557726.2,147276.1,0.2
576899.1,140897,0.01
560221,142970.2,0.2
571325.6,123371.5,0.2
579695.7,135690.8,0.01
581102.6,147496.4,0.01
569596.2,118697.6,0.2
564005.6,135995.5,3
559759.4,145948.2,0.2
576073.9,122944.4,0.01
568699.4,126299.1,0.2
572202.6,124701.8,0.2
580001.8,147096.6,0.01
577001.9,144894.8,15
568600.9,119913.3,0.01
568499.9,119901.1,0.01
569400.3,131500.1,0.2
555197.8,146597.1,0.01
559403.6,144804.3,3
575499.6,140299.8,0.01
561650.3,144250.7,0.2
576400.9,139495.3,0.2
558978.9,150775.4,0.01
563606.7,140403,0.01
574702.8,143702,0.2
556700.3,149126.1,0.01
566906.4,128404.5,0.01
568000.3,127999.3,0.2
570099.3,141295.4,0.2
573801.8,144002.7,0.2
556686,150643,0.2
570227,145645.5,0.01
568568.2,132126.2,3
567443,128795,0.2
576116.2,134222,0.01
574649.8,146625,3
567446,138626.5,0.2
583099,147049,0.2
569700.8,144348.4,0.2
572073,144176,3
583275,149575,0.2
570945.2,139458.6,0.2
577446.5,124252,3
