easting,northing,abundance
564607.9,133295.2,0.2
571496.8,135100.8,0.2
568100.1,142094.9,0.2
569697.1,121794.8,0.01
574300,119800,0.2
574582.1,121850,0.01
568801.8,142299.3,0.2
568127.4,129100.4,0.2
577300.1,140801.2,0.2
576098.9,148048.6,0.01
573900.5,119998.2,3
575297.1,136296.7,0.2
575005.8,122110.3,0.01
578892.5,140400.4,0.2
572597.3,133004.7,0.01
569100,136100,0.2
561243,143270.6,0.2
576401.6,145594.6,0.2
581102.6,147496.4,0.2
578801.4,145697,0.2
576997.9,128702.4,0.2
575600.5,142398.5,0.01
575963.5,123411.2,0.2
570501,134777.5,0.2
572202.6,124701.8,0.2
569189.5,133409.8,0.01
580001.8,147096.6,0.2
572201.4,133801.8,0.2
571898.9,133906.8,0.2
564300.4,147498,3
582302.9,146696.1,0.2
565503.8,139301.8,0.2
561029.3,142573.3,0.2
561650.3,144250.7,0.2
570525.5,133196.1,0.2
563095.1,148098.7,0.2
573528,145101.4,0.2
579600.8,135998.8,0.2
560976.8,142847.2,0.2
577197.4,151400.4,0.01
573303.3,146902.1,0.2
581610.7,147395.8,0.2
575301.5,143399.1,0.2
570900,135200,0.2
574702.8,143702,0.2
568000.3,127999.3,0.2
565990.8,142202.1,0.2
583827,148921,0.2
580123.9,147775.7,0.2
560411,145333,0.2
570227,145645.5,0.01
570267.8,134005.8,0.01
571199.4,133859.4,0.2
578798,132072,0.2
560161,149271,0.2
572682,125042,0.01
559727,148105,0.01
570883.7,134940.3,0.01
572997,122670,3
561307,146819,0.01
575479,144757,0.01
584904,150074,0.2
567446,138626.5,0.01
570469.3,140698.1,0.01
572858.6,140980,0.01
566924.1,139722.5,0.01
573001.4,137035,0.2
570286.3,136049.6,3
572540.2,144902.1,0.01
563219,146338,0.2
563896.2,147901,0.2
569802.4,136268.6,0.01
581476.3,153775.8,0.2
584276,152723,3
577761.1,138756.1,0.01
578753.8,125899.1,0.2
568181,137004,0.01
577349.5,124601.4,0.2
580949.8,137675.4,0.2
579360,138513,0.01
572945.7,123049.8,0.2
572299.1,120848.7,0.2
