easting,northing,abundance
557747.6,149726.8,0
572499.4,145503.5,0
579100.4,151800.4,0
581301.7,150300.1,0
579838.7,124770.9,0
577011.1,121328.6,0
579304.5,153215.5,0
581699.8,150900.1,0
571298.5,137897.7,0
583602.3,147106,0
564607.9,133295.2,0
580497.4,127198.7,0
580303.3,151997.1,0
580706.3,127198.4,0
570801.2,135749.7,0
566900.2,135795.4,0
578000.1,127403.4,0
573301.2,143804.4,0
567801.5,142493.6,0
578799.6,123597.1,0
557469.5,147202.4,0
568600.9,124901.6,0
568803.1,140694.6,0
577051.3,151421.4,0
571096.7,120205,0
571496.8,135100.8,0
565500,137700,0
572202.5,141592.7,0
581099.6,141795.4,0
569599.4,122000,0
567200.1,136397.2,0
572198.7,124600.1,0
576198.7,143105.2,0
579004.1,125798.8,0
564800.2,137699.9,0
577204.5,128294.6,0
570009.3,147199,0
557146.5,150027.3,0
576503.9,143002.1,0
580719.3,131179.6,0
579901.4,150996.2,0
578997.8,124101.3,0
577499,121999.6,0
578598.3,126794.5,0
568100.1,142094.9,0
576999,121296.8,0
578502.8,140998.5,0
577901.1,139199.6,0
571898.6,118200.1,0
575000.2,119897.9,0
578598.4,151003,0
576109.9,148415,0
571572.9,123826,0
577512.9,143798.5,0
569697.1,121794.8,0
580306,152595.3,0
574300,119800,0
574603.9,122198.4,0
580100,130200,0
577997.3,140799.1,0
578500.3,124402.2,0
574582.1,121850,0
569301.9,141800.9,0
578101.7,140694.5,0
578403.1,139196.5,0
568801.8,142299.3,0
568127.4,129100.4,0
571400,117200,0
576598.5,141304.5,0
577902.6,122902.8,0
557682.6,150423.3,0
577593.8,129095.2,0
580499,124512.5,0
577300.1,140801.2,0
575139.3,121032.1,0
576098.9,148048.6,0
574897.8,143394.6,0
564295.7,144405.6,0
572092.5,148403.3,0
573900.5,119998.2,0
578400.7,150498.4,0
566805.8,138599.4,0
572898.6,141798.5,0
575297.8,130796,0
572999.6,147227.6,0
577703.7,128994.6,0
571122.5,124203,0
572600,130000,0
576200,143697.9,0
575502.4,131701.7,0
575400.1,131097.7,0
570604.5,132301.6,0
568399.6,144601.2,0
580097.2,136400.3,0
575300,124700,0
580498.5,137599.3,0
557726.2,147276.1,0
569700.8,124099.4,0
562699.6,134995.7,0
576304.5,132905.7,0
579494,137398.3,0
579398.4,124795.8,0
577795.7,137395.5,0
577390.6,137392.6,0
575297.1,136296.7,0
557846.9,147527.3,0
580903.4,141096.7,0
579797.7,123900.1,0
575005.8,122110.3,0
578892.5,140400.4,0
576598,138495.7,0
577800,125300,0
579651.4,136898,0
576899.1,140897,0.2
572597.3,133004.7,0
560221,142970.2,0
577504,125410.4,0
581406,131494.1,0
581499.8,131399,0
569696.8,138099.7,0
571897.7,120196.7,0
573798.4,144701.7,0
584593.8,151895.1,0
569100,136100,0
579197.2,135997,0
578594,125100.5,0
579101.1,136303.5,0
578699.1,136499.2,0
578076,136824.3,0
568503.8,137897.2,0
556973.9,147973.5,0
571325.6,123371.5,0
581500.1,146293.7,0
578405.1,136698.7,0
574599.1,147402.6,0
569004.4,138896.9,0
582698.6,152999.7,0
572791.1,130001,0
561243,143270.6,0
576799,137001.5,0
579499.3,125899.1,0
578798.1,152198.7,0
576899.2,135300.6,0
571491.2,136704.4,0
579595.4,135895.9,0
574799.7,149306,0
579202.5,127099.6,0
575302.8,124296.6,0
582903.8,148008.8,0
578798,136097,0
578507.5,136296,0
578508.1,136447.7,0
574896.5,148994.9,0
579695.7,135690.8,0
578501.7,125401.6,0
558697.6,151448.1,0
576401.6,145594.6,0
575197.5,136097.8,0
579300,127000,0
578699.1,135697.9,0
578101.7,136694.6,0
579394.5,127298.5,0
578099.9,136597.5,0
556725.4,149799.5,0
581102.6,147496.4,0
572499.3,142499.1,0
578009.1,135297,0
569596.2,118697.6,0
564005.6,135995.5,0
574598.3,136695.3,0
580599,130604.3,0
572599.5,117600.4,0
578901.5,145897.8,0
576392.2,136900,0
581303.3,129895.4,0
582391.8,131806.9,0
575498.4,119697.8,0
572399.1,117203.5,0
568343.2,126100.4,0
583295.3,147897.6,0
571300.9,119198.1,0
581994.8,140302.7,0
581989.9,139903.8,0
570696.1,117995.1,0
581598.5,131499.8,0
572099.2,119498.8,0
578801.4,145697,0
577403.4,137099.6,0
575587.4,119963,0
581299,141190.4,0
576997.9,128702.4,0
555900.3,148998.7,0
575600.5,142398.5,0
557699.9,149446.4,0
559759.4,145948.2,0
570601.6,126399.5,0
576073.9,122944.4,0
576144.9,122862.2,0
575963.5,123411.2,0
578685.1,124961.7,0
578624,124900.8,0
578000.8,124697.2,0
579934.6,124834.3,0
578429.1,126929.7,0
575911,120586,0
568699.4,126299.1,0
578499.4,146998.9,0
577097.3,132101.7,0
570501,134777.5,0
575424.2,148146.1,0
564902.3,135892.4,0
561077.2,142223.1,0
568199.1,126923.2,0
575305,138001.9,0
578097.3,126797.3,0
567494,129402.2,0
568400,141500,0
572202.6,124701.8,0
571511.9,138702,0
568325.9,130398.8,0
577187.2,123302.2,0
558229.8,148297.1,0
569189.5,133409.8,0
572299.3,120103,0
579502.3,146799.2,0
571000,122800,0
567495.4,138403.1,0
575000.6,145775,0
571100.3,118396.6,0
558928,150370.2,0
580001.8,147096.6,0
577503.1,127204.8,0
576600,121200,0
572201.4,133801.8,0
573001,147000.2,0
581497.5,131291.2,0
559275.4,151124,0
571098.2,146497.4,0
577501.2,145595,0
571898.9,133906.8,0
575796,129984.7,0
561026.6,143900.2,0
580201.8,150796.7,0
573105.7,118601.3,0
573099.5,119599.5,0
571051.1,146399.7,0
573103.4,118598.5,0
580700,126300,0
582198.2,152691.8,0
569921,133567.9,0
573199.9,119600.8,0
566766.3,121184,0
576399.9,128498.4,0
567007.6,119415.6,0
575600.6,138700.5,0
580477.5,143595.9,0
566921.6,119499.3,0
567217.1,119963.1,0
564300.4,147498,0
567375.3,120135.8,0
582302.9,146696.1,0
577001.9,144894.8,0
567586.4,119886.5,0
566597.5,119842.3,0
567203.5,121302.3,0
580599.6,151189.7,0
565503.8,139301.8,0
567201.5,121101.7,0
568299.9,121200.1,0
568600.9,119913.3,0
575301.1,128999.3,0
568499.9,119901.1,0
568001.3,119898.9,0
577799.6,126297,0
567899.8,119898.4,0
567739.3,119992.1,0
568299.9,119696.4,0
568201.9,119602.4,0
567499.3,119298.9,0
