easting,northing,abundance
572499.4,145503.5,0.2
581699.8,150900.1,0.2
564607.9,133295.2,0.01
570801.2,135749.7,15
568600.9,124901.6,0.2
571096.7,120205,3
571496.8,135100.8,0.2
569599.4,122000,0.2
572198.7,124600.1,0.2
579901.4,150996.2,0.2
578502.8,140998.5,3
577901.1,139199.6,0.2
571572.9,123826,0.2
580306,152595.3,0.2
574300,119800,0.2
580100,130200,0.01
577997.3,140799.1,0.2
574582.1,121850,0.2
578101.7,140694.5,3
568127.4,129100.4,0.2
576598.5,141304.5,0.2
576098.9,148048.6,15
572092.5,148403.3,0.2
578400.7,150498.4,0.2
566805.8,138599.4,0.2
572898.6,141798.5,0.2
572999.6,147227.6,0.2
570604.5,132301.6,15
568399.6,144601.2,0.2
562699.6,134995.7,15
575297.1,136296.7,15
557846.9,147527.3,0.2
572597.3,133004.7,15
573798.4,144701.7,0.2
569100,136100,3
579197.2,135997,0.2
578594,125100.5,0.2
568503.8,137897.2,0.2
571325.6,123371.5,0.01
561243,143270.6,0.2
578798.1,152198.7,0.2
574799.7,149306,3
578507.5,136296,0.2
574896.5,148994.9,0.2
579695.7,135690.8,3
576401.6,145594.6,0.2
575197.5,136097.8,0.2
578699.1,135697.9,0.2
581102.6,147496.4,0.2
569596.2,118697.6,3
574598.3,136695.3,0.2
576392.2,136900,3
571300.9,119198.1,0.2
570696.1,117995.1,0.2
578801.4,145697,0.2
581299,141190.4,0.01
576997.9,128702.4,15
570601.6,126399.5,0.2
576073.9,122944.4,0.2
576144.9,122862.2,0.2
575963.5,123411.2,0.2
578685.1,124961.7,0.2
578624,124900.8,0.2
578000.8,124697.2,0.2
578429.1,126929.7,0.2
570501,134777.5,3
564902.3,135892.4,0.2
561077.2,142223.1,0.01
568199.1,126923.2,0.2
578097.3,126797.3,37.5
567494,129402.2,15
572202.6,124701.8,15
569189.5,133409.8,3
579502.3,146799.2,0.01
571000,122800,0.2
567495.4,138403.1,3
575000.6,145775,0.2
580001.8,147096.6,3
572201.4,133801.8,15
571898.9,133906.8,3
580201.8,150796.7,15
569921,133567.9,0.2
575600.6,138700.5,0.2
580477.5,143595.9,15
567217.1,119963.1,3
564300.4,147498,3
582302.9,146696.1,3
565503.8,139301.8,0.2
568299.9,121200.1,0.2
568600.9,119913.3,3
575301.1,128999.3,0.2
568499.9,119901.1,0.2
568299.9,119696.4,0.01
568201.9,119602.4,3
565400.3,144400.3,0.2
569400.3,131500.1,0.2
567795.9,120798.4,15
566898.4,128704.9,3
567033.4,128733,3
561029.3,142573.3,0.2
574998.5,121895.7,3
558901.4,144999.9,37.5
559400.1,144600.6,0.2
559298.5,146098.9,0.2
575499.6,140299.8,0.2
561650.3,144250.7,0.01
568401.1,137500.5,0.2
572002.5,137399,3
575699.4,127700.4,3
570525.5,133196.1,15
571502.8,137302.4,3
564401.8,142100,3
564498.7,147097.7,0.01
573528,145101.4,0.2
579600.8,135998.8,0.2
566496.5,134101.5,3
560976.8,142847.2,3
571003.2,130794.3,0.01
581099.1,136598.8,0.2
577197.6,133097,0.2
577197.4,151400.4,0.01
573303.3,146902.1,0.2
