easting,northing,abundance
571096.7,120205,0.01
572198.7,124600.1,0.01
579901.4,150996.2,0.2
578598.3,126794.5,0.2
578502.8,140998.5,0.2
577901.1,139199.6,0.2
574603.9,122198.4,0.01
580100,130200,0.2
578500.3,124402.2,0.01
568801.8,142299.3,0.2
576598.5,141304.5,15
577300.1,140801.2,0.2
573900.5,119998.2,0.01
575297.8,130796,0.2
572999.6,147227.6,0.2
572600,130000,0.2
575502.4,131701.7,0.2
575400.1,131097.7,0.2
580498.5,137599.3,0.2
580903.4,141096.7,0.01
578892.5,140400.4,0.2
576598,138495.7,0.2
572597.3,133004.7,0.01
579197.2,135997,0.2
581500.1,146293.7,0.2
572791.1,130001,0.01
576899.2,135300.6,0.2
571491.2,136704.4,0.01
579595.4,135895.9,0.01
574896.5,148994.9,0.01
572499.3,142499.1,0.01
578009.1,135297,0.2
580599,130604.3,0.01
577097.3,132101.7,0.2
578097.3,126797.3,0.01
572202.6,124701.8,0.2
571898.9,133906.8,0.2
575796,129984.7,0.2
573099.5,119599.5,0.2
580599.6,151189.7,0.2
568600.9,119913.3,0.2
577799.6,126297,3
561029.3,142573.3,0.2
575499.6,140299.8,0.2
570525.5,133196.1,3
581602.6,136003.3,0.2
581600.9,135899.4,0.2
581701.1,141200.9,0.2
580700.2,126000.6,0.01
581610.7,147395.8,3
580596.6,133307,0.01
572196.4,137698.4,0.01
581097,154305.9,0.2
581199.1,154799.7,0.2
568000.3,127999.3,3
576501.3,144798.9,0.2
573297,122712,0.2
572682,125042,0.2
566360.4,138988.8,0.01
574024.6,140198.9,0.2
562151.1,148075.6,0.01
564749.3,136624.1,0.2
573572.4,136995.4,0.2
563896.2,147901,3
570945.2,139458.6,0.01
569751,137849.8,0.01
583994,152783,0.2
583540,146251,0.2
566926.9,138078.1,0.2
579525,140325,0.01
570972,121569,0.2
572492.6,137664,0.2
576317,139872.7,0.01
583649.2,151723.5,0.01
575927.9,128449.8,0.2
576497,123186,0.2
583550,151349,0.2
573652.6,132433.2,0.2
577761.1,138756.1,0.2
578753.8,125899.1,0.2
583335.4,145409.1,0.2
573075.3,130849,0.2
581976.5,135748.4,0.01
576974.5,123426.3,0.2
574207.2,130257.2,0.2
578224.5,126575.1,0.01
582874,153225,0.01
582975.2,153650,0.2
576600.7,123898.4,0.2
573268.3,130105.2,0.01
565100,142293,0.01
577349.5,124601.4,0.2
570204.8,117051.6,0.2
578550.1,125700.3,0.2
581176,136034,0.01
