easting,northing,abundance
572499.4,145503.5,0.2
580303.3,151997.1,0.2
570801.2,135749.7,15
568803.1,140694.6,3
571496.8,135100.8,0.2
579004.1,125798.8,3
568100.1,142094.9,37.5
571572.9,123826,0.2
577300.1,140801.2,0.2
573900.5,119998.2,0.01
566805.8,138599.4,15
570604.5,132301.6,3
568399.6,144601.2,3
580498.5,137599.3,3
576304.5,132905.7,0.2
578892.5,140400.4,0.2
576598,138495.7,0.2
576899.1,140897,0.01
572597.3,133004.7,3
569100,136100,3
579695.7,135690.8,0.2
576401.6,145594.6,3
581102.6,147496.4,3
581994.8,140302.7,0.2
581989.9,139903.8,0.2
576997.9,128702.4,15
576073.9,122944.4,0.2
576144.9,122862.2,0.2
575305,138001.9,15
567495.4,138403.1,15
572201.4,133801.8,0.2
564300.4,147498,15
565503.8,139301.8,3
568898.6,146093,0.2
570525.5,133196.1,15
579600.8,135998.8,3
581700.8,147601.3,3
581097,154305.9,15
574702.8,143702,15
568200.2,139899.8,0.2
583827,148921,0.2
569928.4,146296.5,3
570169,146010,15
580304.8,147078.7,3
570227,145645.5,15
578798,132072,0.01
560161,149271,0.2
572682,125042,0.2
568125.1,143349.9,3
576116.2,134222,15
567680,143736,3
575479,144757,3
568019,143052,3
569719.2,144953.4,0.2
581075.5,153701.3,0.2
583099,147049,0.01
562625.6,146899.8,0.2
570875,121803,3
572540.2,144902.1,0.01
583540,146251,3
579525,140325,0.2
581297,134228,3
570375.4,121675.1,3
583550,151349,0.01
564950,143883,15
577761.1,138756.1,3
571275.3,120623,3
571250.6,131047.4,15
580949.8,137675.4,3
567025,136049,0.01
579224,140473,15
