easting,northing,abundance
580706.3,127198.4,0.2
573301.2,143804.4,0.2
571096.7,120205,0.2
579004.1,125798.8,3
580719.3,131179.6,0.01
578598.3,126794.5,0.2
577593.8,129095.2,0.2
577300.1,140801.2,0.2
575139.3,121032.1,0.2
575297.8,130796,0.2
577703.7,128994.6,0.2
572600,130000,0.2
575502.4,131701.7,0.2
575400.1,131097.7,0.2
580097.2,136400.3,0.2
580498.5,137599.3,0.2
576304.5,132905.7,3
577795.7,137395.5,3
575297.1,136296.7,0.2
578892.5,140400.4,0.2
577800,125300,0.2
577504,125410.4,0.2
579101.1,136303.5,0.2
578076,136824.3,0.2
568503.8,137897.2,0.2
581500.1,146293.7,0.2
582698.6,152999.7,0.2
572791.1,130001,0.2
576799,137001.5,0.2
579499.3,125899.1,0.2
579595.4,135895.9,0.2
574799.7,149306,0.2
575302.8,124296.6,0.2
578798,136097,0.2
578501.7,125401.6,0.2
569596.2,118697.6,0.2
571300.9,119198.1,0.2
581994.8,140302.7,0.2
572099.2,119498.8,3
576144.9,122862.2,0.2
578685.1,124961.7,0.2
578429.1,126929.7,0.2
578097.3,126797.3,3
571511.9,138702,0.01
572299.3,120103,0.2
571100.3,118396.6,0.2
580700,126300,0.2
573199.9,119600.8,0.01
576399.9,128498.4,0.2
580477.5,143595.9,0.2
565503.8,139301.8,0.2
577799.6,126297,0.2
565400.3,144400.3,0.2
580308.3,125895.5,0.01
575699.4,127700.4,0.2
572501.1,118104.5,0.2
576801.2,125097.5,0.2
563095.1,148098.7,0.2
565777,140310.9,0.2
579801.1,125899.6,0.2
580200.6,125803.9,0.2
579299.8,125801.8,0.2
579600.8,135998.8,0.2
581602.6,136003.3,0.2
580101.4,125999.7,0.2
579705.7,139600.7,0.2
579000,125099.2,0.2
580000.6,125598.8,0.2
579899.2,125101.4,0.2
567204.4,135794.2,3
577599.3,125597.3,0.2
571084.2,137391.7,0.2
581701.1,141200.9,0.2
581099.1,136598.8,0.2
581701.1,141098.5,0.2
579000.2,136502.1,0.2
572403.8,118198.8,0.2
579599.8,127302.9,3
577601.9,137196.5,0.2
572099.8,118101.7,0.2
580700.2,126000.6,0.2
572099,117900.4,0.2
571708.7,117300.1,0.2
570709.9,122288.1,0.2
579503.2,125604.8,0.2
568200.2,139899.8,0.01
571399.4,141299.9,0.2
576501.3,144798.9,0.2
580747.05,126947.96,0.01
579493.24,127048.15,0.2
580735,126895,0.01
581187.6,126615.4,3
579979.6,125113.6,0.2
579320.9,125692.3,0.2
580320.4,126280,0.2
579099.5,126315.5,0.2
578659,125442.1,0.2
579059.7,125383.8,0.2
580380.3,126279.7,0.2
568019,143052,0.2
567446,138626.5,0.2
564749.3,136624.1,0.2
566303.8,138452.4,3
569802.4,136268.6,0.01
570945.2,139458.6,0.01
569751,137849.8,0.2
584276,152723,0.2
565004,143462,3
583540,146251,0.2
566926.9,138078.1,3
579525,140325,3
570972,121569,0.01
570375.4,121675.1,0.2
575927.9,128449.8,0.2
581156.7,152529.2,0.2
583550,151349,0.2
577761.1,138756.1,3
571275.3,120623,0.2
571291.3,119649.5,3
578753.8,125899.1,15
583335.4,145409.1,15
577174.9,138100,0.2
577076.1,137874.7,0.2
581976.5,135748.4,0.2
574207.2,130257.2,0.2
578224.5,126575.1,0.2
568331,137532,0.2
567397,135231,0.2
582874,153225,0.2
576600.7,123898.4,3
575526.4,124591.1,0.2
581525,145327,0.2
573268.3,130105.2,0.2
582675.7,153675.5,0.2
576750.7,129474.4,0.2
578037.2,138218.7,3
567800.8,137174,0.2
573339,121070,0.2
577349.5,124601.4,3
580949.8,137675.4,0.2
570204.8,117051.6,3
570629.3,117628.7,0.2
578921.2,137373.2,0.2
582112.9,145111.3,3
577700.1,127074,0.2
571297.1,118325.6,3
576125,127300,0.2
573152.8,117996.8,0.2
578370,137739,0.2
578399.3,126000.6,0.2
578550.1,125700.3,3
577150,137549,3
579281.6,124630.2,0.2
567377.1,136551.9,0.2
580999.9,126550.1,3
567825.3,136499.5,0.2
577903.9,125558.2,3
565875,135599.2,0.2
572902,120547,3
567443.8,136781.1,0.2
576102,121726,0.2
576800,137648,15
570842,118704.9,0.2
578402,137444,0.2
576053.4,136301.8,3
581401,144503,0.2
577400,122951,0.2
583325,132624,0.2
571002.1,117025.8,0.2
577489,136515.8,0.2
578342,123919,3
572787.5,117489.2,0.2
580477,132142,0.2
581882,132197,0.2
579224.9,126601.5,3
572299.1,120848.7,3
577523,152782,3
571751,119856,0.2
579549,136348,3
580400,136150,0.2
572325,119773,3
578850.8,136647.6,15
579749.7,136350,0.2
578505,123758,0.2
