easting,northing,abundance
568803.1,140694.6,0.2
572202.5,141592.7,0.2
564800.2,137699.9,0.2
578502.8,140998.5,0.2
568801.8,142299.3,3
576598.5,141304.5,3
574897.8,143394.6,0.2
566805.8,138599.4,0.2
570604.5,132301.6,15
583295.3,147897.6,0.2
571898.9,133906.8,3
571051.1,146399.7,3
575600.6,138700.5,0.2
569946.4,145602.9,0.2
573528,145101.4,0.2
561305.9,142601.2,0.01
572705.1,134195.4,3
568200.2,139899.8,0.01
559682,150847,0.2
569795,133252,0.01
571199.4,133859.4,0.01
568421.6,142839.2,0.01
561319,149776,0.2
576651.2,141850.9,3
574025.1,144176.6,0.01
567680,143736,3
577175.1,141324.5,0.2
573924.6,146424.8,3
562151.1,148075.6,0.01
570469.3,140698.1,0.2
568688,129132,0.2
572540.2,144902.1,15
563896.2,147901,3
