easting,northing,abundance
571096.7,120205,0.2
572198.7,124600.1,0.2
578598.3,126794.5,0.2
564295.7,144405.6,0.2
573900.5,119998.2,0.2
580498.5,137599.3,3
575297.1,136296.7,0.2
578892.5,140400.4,0.01
577800,125300,3
576899.1,140897,0.01
569696.8,138099.7,0.2
584593.8,151895.1,0.2
569100,136100,3
578076,136824.3,3
578405.1,136698.7,0.2
576799,137001.5,0.2
574799.7,149306,0.2
575302.8,124296.6,0.2
574896.5,148994.9,0.2
575197.5,136097.8,0.2
578009.1,135297,3
581994.8,140302.7,0.2
576997.9,128702.4,3
576073.9,122944.4,0.2
575796,129984.7,0.2
574998.5,121895.7,0.2
572790,119200,0.2
577197.4,151400.4,0.2
580596.6,133307,0.01
