easting,northing,abundance
579100.4,151800.4,0.2
581301.7,150300.1,0.2
581699.8,150900.1,0.2
566900.2,135795.4,0.2
571096.7,120205,0.2
571496.8,135100.8,0.2
557146.5,150027.3,0.2
578502.8,140998.5,0.2
578598.4,151003,3
580306,152595.3,0.2
580100,130200,0.2
577997.3,140799.1,3
578101.7,140694.5,0.2
578403.1,139196.5,0.2
568801.8,142299.3,3
576598.5,141304.5,0.2
557682.6,150423.3,15
577300.1,140801.2,0.2
574897.8,143394.6,3
572999.6,147227.6,0.2
576200,143697.9,0.2
568399.6,144601.2,0.2
557726.2,147276.1,0.2
557846.9,147527.3,15
578892.5,140400.4,0.2
560221,142970.2,15
569696.8,138099.7,0.2
569100,136100,0.2
581500.1,146293.7,0.2
574599.1,147402.6,3
561243,143270.6,0.2
576899.2,135300.6,0.2
571491.2,136704.4,0.2
576401.6,145594.6,0.2
570696.1,117995.1,0.2
578801.4,145697,0.2
559759.4,145948.2,0.2
578685.1,124961.7,0.2
578624,124900.8,0.2
568699.4,126299.1,0.2
578499.4,146998.9,0.2
568325.9,130398.8,0.2
571051.1,146399.7,0.2
565503.8,139301.8,0.2
575301.1,128999.3,0.2
572002.5,137399,0.2
569946.4,145602.9,15
573528,145101.4,0.2
572496.9,147096.7,0.2
563606.7,140403,0.2
577204.8,149998.7,0.2
581700.8,147601.3,0.2
581610.7,147395.8,0.2
575301.5,143399.1,37.5
572599.1,146802.1,0.2
570900,135200,0.01
580596.6,133307,3
579103.4,152501.4,0.2
580602.7,125896.4,0.01
556700.3,149126.1,15
576501.3,144798.9,0.2
577904.8,141703.9,0.2
569696.8,142495.1,3
578454.92,127133.81,0.2
559406,146677,0.01
559038,146684,0.2
570749.6,146998.7,15
576116.2,134222,0.2
561307,146819,3
575479,144757,15
576905.09,148900,0.2
561475.5,144725.5,0.01
584904,150074,0.2
577525,148750,0.2
562009,145236,3
581123.8,146675.1,3
576273.4,144700.4,3
564749.3,136624.1,0.01
572073,144176,3
563219,146338,0.2
563896.2,147901,0.2
574641,148142.9,0.2
569802.4,136268.6,0.01
583275,149575,15
578799.6,151400.5,0.2
579785.7,145240.6,0.2
581476.3,153775.8,0.01
570972,121569,0.2
575697,135312,3
570375.4,121675.1,0.01
584775.4,154399.4,0.2
581077.6,151499,3
579424.7,152150.3,3
571150.1,129625,15
571275.3,120623,15
579550,152800,0.2
567397,135231,3
570326,118574.8,3
578550.1,125700.3,0.2
580999.9,126550.1,15
570652.4,118626.4,3
579985,136034.5,3
571751,119856,0.2
