easting,northing,abundance
564607.9,133295.2,0.2
580706.3,127198.4,0.2
581099.6,141795.4,0.01
568100.1,142094.9,3
578502.8,140998.5,0.2
580100,130200,3
577300.1,140801.2,0.2
564295.7,144405.6,0.01
577390.6,137392.6,0.01
575297.1,136296.7,0.2
575005.8,122110.3,0.01
578076,136824.3,0.2
571325.6,123371.5,0.2
578405.1,136698.7,0.2
574599.1,147402.6,0.2
574799.7,149306,0.2
575302.8,124296.6,0.01
578798,136097,0.2
578507.5,136296,0.2
575197.5,136097.8,0.01
578101.7,136694.6,0.2
581102.6,147496.4,0.01
581994.8,140302.7,0.2
570696.1,117995.1,0.2
576997.9,128702.4,0.2
575600.5,142398.5,0.01
564902.3,135892.4,0.2
578097.3,126797.3,0.2
575000.6,145775,0.01
572201.4,133801.8,0.2
575796,129984.7,0.2
564300.4,147498,0.2
565503.8,139301.8,0.01
572790,119200,0.2
568898.6,146093,0.01
581800.3,139198.9,0.01
570525.5,133196.1,0.2
579600.8,135998.8,0.01
579705.7,139600.7,0.01
581700.8,147601.3,0.2
581610.7,147395.8,0.2
572099,117900.4,0.2
567598.2,141003.6,0.01
560411,145333,0.2
570169,146010,3
580304.8,147078.7,0.2
560161,149271,0.2
572682,125042,0.2
578077,132564,0.2
579233.8,146350.4,0.01
577175.1,141324.5,0.2
568019,143052,0.01
570469.3,140698.1,0.01
581123.8,146675.1,0.01
572540.2,144902.1,0.2
563896.2,147901,3
576027.9,148852.9,0.2
581476.3,153775.8,0.2
584276,152723,0.2
583540,146251,3
577761.1,138756.1,0.2
574725,121175.5,0.01
571291.3,119649.5,0.2
577076.1,137874.7,0.2
575526.4,124591.1,0.2
578037.2,138218.7,3
570204.8,117051.6,0.2
565875,135599.2,0.2
576800,137648,3
575564.1,136336.5,3
576053.4,136301.8,3
571576,119374,0.2
581401,144503,3
579549,136348,0.2
