easting,northing,abundance
571096.7,120205,15
577901.1,139199.6,0.2
572898.6,141798.5,15
575005.8,122110.3,15
576899.2,135300.6,15
574598.3,136695.3,15
573099.5,119599.5,0.01
575301.1,128999.3,0.2
565400.3,144400.3,3
574998.5,121895.7,15
575699.4,127700.4,3
563095.1,148098.7,0.2
581701.1,141200.9,3
572099.8,118101.7,0.01
577002,125737.1,0.2
567443,128795,3
571199.4,133859.4,0.01
572997,122670,0.2
584904,150074,0.2
573572.4,136995.4,15
581476.3,153775.8,37.5
584276,152723,0.2
570972,121569,0.2
563673,134679,15
567397,135231,0.01
573339,121070,3
570204.8,117051.6,0.2
579360,138513,0.2
570629.3,117628.7,3
578921.2,137373.2,0.2
578370,137739,15
578402,137444,3
572299.1,120848.7,0.2
