easting,northing,abundance
581699.8,150900.1,0.2
566900.2,135795.4,0.01
578000.1,127403.4,0.2
573301.2,143804.4,0.2
577051.3,151421.4,0.01
578598.3,126794.5,3
577901.1,139199.6,0.2
578500.3,124402.2,0.2
578403.1,139196.5,0.2
571400,117200,0.2
575139.3,121032.1,0.2
577703.7,128994.6,3
576200,143697.9,0.2
568399.6,144601.2,0.2
569700.8,124099.4,3
579398.4,124795.8,0.01
575297.1,136296.7,0.01
577800,125300,0.2
581500.1,146293.7,0.2
574599.1,147402.6,0.2
569004.4,138896.9,0.2
582698.6,152999.7,0.2
572791.1,130001,15
576799,137001.5,0.2
578798.1,152198.7,0.2
574799.7,149306,0.2
578798,136097,0.2
578501.7,125401.6,3
581994.8,140302.7,0.2
581989.9,139903.8,0.01
576144.9,122862.2,0.2
578429.1,126929.7,3
568400,141500,3
572299.3,120103,0.2
571051.1,146399.7,0.2
580700,126300,3
573199.9,119600.8,0.2
580477.5,143595.9,0.2
565503.8,139301.8,0.2
577799.6,126297,0.2
567739.3,119992.1,0.2
565400.3,144400.3,0.01
569402.9,124255.3,0.2
569177.4,146198.7,0.2
568600.2,137699.4,0.2
564297.7,142001.5,0.2
569946.4,145602.9,0.01
583702.1,145787.8,0.2
563095.1,148098.7,0.2
579801.1,125899.6,15
579600.8,135998.8,0.2
579599.3,126198.6,3
580600,126400.7,0.2
566496.5,134101.5,0.2
572496.9,147096.7,0.01
579600,125798.4,3
579000,125099.2,15
580000.6,125598.8,3
567204.4,135794.2,0.2
577599.3,125597.3,0.2
571084.2,137391.7,3
578357.6,143628.6,0.2
580203,142698.8,0.2
571600.6,138301.1,0.2
571003.2,130794.3,15
581099.1,136598.8,0.2
577197.6,133097,0.2
575696,122696,3
573712.5,120867.6,3
577197.4,151400.4,0.01
577601.9,137196.5,3
572099.8,118101.7,0.2
580700.2,126000.6,0.2
572099,117900.4,0.2
575301.5,143399.1,0.2
572599.1,146802.1,0.2
572004.8,148103.8,3
580596.6,133307,3
572196.4,137698.4,0.2
579503.2,125604.8,3
580602.7,125896.4,3
580390.8,131206.1,0.01
571399.4,141299.9,3
579493.24,127048.15,3
578439.11,127104.02,15
580384,126010,3
580735,126895,15
581187.6,126615.4,0.2
579979.6,125113.6,0.2
579099.5,126315.5,0.01
579874,125137.7,0.2
579966.4,126392.9,0.2
579864.5,125055.5,3
580291.9,125169.4,3
579896.4,125666.6,3
580927.4,126331,0.2
577392.7,127634.3,0.01
578985.3,124216,0.2
578934.8,124240.5,0.2
579205.6,125078.1,0.01
570267.8,134005.8,0.01
571199.4,133859.4,0.01
578798,132072,0.01
560161,149271,3
581123.8,146675.1,0.2
572073,144176,0.01
574641,148142.9,0.2
578799.6,151400.5,3
579785.7,145240.6,0.2
576027.9,148852.9,3
570195,140281,3
569751,137849.8,0.2
579525,140325,0.2
576497,123186,0.01
578979.2,144077.2,0.01
584775.4,154399.4,0.2
571150.1,129625,0.2
571275.3,120623,0.2
578764,151606,0.01
571291.3,119649.5,0.2
576974.5,123426.3,0.01
574207.2,130257.2,0.2
567397,135231,0.2
567800.8,137174,0.2
584078.3,155077.5,3
565100,142293,0.2
580599,142450,3
579360,138513,0.2
570629.3,117628.7,0.2
570900.2,137500.1,3
582112.9,145111.3,0.01
576125,127300,0.01
578370,137739,0.2
578399.3,126000.6,0.2
578550.1,125700.3,0.2
566724.3,135125.3,0.2
579281.6,124630.2,15
567377.1,136551.9,0.2
580999.9,126550.1,3
580927.5,126009.9,0.2
567825.3,136499.5,0.2
577903.9,125558.2,0.2
570652.4,118626.4,15
567443.8,136781.1,0.2
567025,136049,0.2
564479,142336,0.2
580489.7,124797.4,0.2
577400,122951,0.2
583325,132624,3
571002.1,117025.8,15
577175,152225,3
578120,123337,0.2
574764,146758,0.2
579224.9,126601.5,0.2
578352.6,125122.8,0.2
579985,136034.5,3
571751,119856,3
572671.6,119804.4,0.2
572325,119773,3
578850.8,136647.6,0.2
579749.7,136350,0.01
