easting,northing,abundance
581301.7,150300.1,15
581699.8,150900.1,0.2
557469.5,147202.4,3
557146.5,150027.3,37.5
557682.6,150423.3,37.5
572999.6,147227.6,62.5
571122.5,124203,37.5
557726.2,147276.1,37.5
569700.8,124099.4,37.5
562699.6,134995.7,0.01
557846.9,147527.3,37.5
560221,142970.2,37.5
571325.6,123371.5,62.5
561243,143270.6,62.5
578798.1,152198.7,0.01
568343.2,126100.4,15
559759.4,145948.2,87.5
570601.6,126399.5,37.5
575963.5,123411.2,37.5
578429.1,126929.7,3
568699.4,126299.1,37.5
578499.4,146998.9,15
568199.1,126923.2,37.5
568325.9,130398.8,37.5
558229.8,148297.1,3
569189.5,133409.8,15
571051.1,146399.7,15
569921,133567.9,62.5
567007.6,119415.6,3
567217.1,119963.1,0.2
567375.3,120135.8,3
566597.5,119842.3,15
567203.5,121302.3,3
567739.3,119992.1,37.5
555805.8,146495.9,15
556075.3,145996.9,3
556095.9,147396.3,87.5
569402.9,124255.3,62.5
566898.4,128704.9,15
567033.4,128733,37.5
559403.6,144804.3,0.2
558901.9,145301.7,37.5
559400.1,144600.6,0.2
559399.1,146299.4,15
569946.4,145602.9,37.5
573528,145101.4,37.5
572496.9,147096.7,3
560976.8,142847.2,0.2
563606.7,140403,15
573303.3,146902.1,15
572599.1,146802.1,37.5
574750,146348.6,37.5
560737.6,143528.2,3
556700.3,149126.1,37.5
566906.4,128404.5,15
570000,124100,62.5
577904.8,141703.9,37.5
558221.8,151780,3
570001.6,133874.5,37.5
562926.6,133269.6,37.5
559406,146677,15
568463,126715,3
571942.6,146126.3,15
560411,145333,0.2
570196,133321.4,0.2
570267.8,134005.8,37.5
569380.1,133056.7,15
568568.2,132126.2,37.5
567443,128795,37.5
559038,146684,15
570749.6,146998.7,37.5
559727,148105,3
576116.2,134222,62.5
569848,128505,15
561307,146819,0.2
577175.1,141324.5,3
576905.09,148900,3
561475.5,144725.5,15
569719.2,144953.4,15
573924.6,146424.8,0.2
573300,134528,0.2
562009,145236,3
572297.5,126446.6,0.2
570286.3,136049.6,3
576027.9,148852.9,15
570195,140281,15
565411,134801,0.2
574764,146758,3
572945.7,123049.8,15
