easting,northing,abundance
578508.1,136447.7,15
574493.8,120197.7,0.01
567797.4,136197.1,0.2
579599.3,126198.6,3
567204.4,135794.2,3
571084.2,137391.7,0.01
567504.8,137198.5,3
579599.8,127302.9,3
577601.9,137196.5,15
572099.8,118101.7,0.2
571599.6,117001.2,0.2
580927.4,126331,3
576974.5,123426.3,0.01
577700.1,127074,3
579281.6,124630.2,3
580999.9,126550.1,3
577903.9,125558.2,0.2
576102,121726,0.2
577400,122951,3
571002.1,117025.8,0.2
579224.9,126601.5,15
578352.6,125122.8,3
579985,136034.5,0.2
571751,119856,0.2
580400,136150,0.2
579749.7,136350,0.2
578505,123758,3
