easting,northing,abundance
571898.6,118200.1,0.2
579398.4,124795.8,0.2
578508.1,136447.7,0.2
572099.2,119498.8,0.2
579600,125798.4,3
571900.3,117895.8,0.2
571708.7,117300.1,0.2
580390.8,131206.1,0.2
580497.4,131200.7,0.01
576799.8,121598.6,0.2
578588,123645.8,0.2
581525,145327,0.2
579281.6,124630.2,15
572902,120547,0.2
576102,121726,0.2
577352,152347,0.01
580489.7,124797.4,0.2
577400,122951,3
571002.1,117025.8,0.01
578224,123526,0.2
572061.3,118574.9,0.2
578342,123919,0.2
572787.5,117489.2,0.01
578352.6,125122.8,0.2
572325,119773,0.2
578505,123758,0.2
