easting,northing,abundance
571898.6,118200.1,0.01
580198.9,125401,0.01
572400,119200,0.2
572501.1,118104.5,0.01
579599.3,126198.6,0.2
581299.1,144899.3,0.2
572402.2,117799.7,0.2
577301.8,122199,0.2
572402.1,117700.7,0.01
572300.2,117997,0.2
571900.3,117895.8,0.2
571499.4,117200.6,0.2
571799.5,117699.5,0.2
576799.8,121598.6,0.2
580384,126010,0.01
578985.3,124216,0.2
579043.7,123564.4,0.2
578934.8,124240.5,0.2
578943.4,123708,0.2
578823.6,123767.3,0.01
581525,145327,0.01
567800.8,137174,0.01
573152.8,117996.8,0.2
572221,117491,3
577352,152347,0.2
581101,129848,0.2
572199.8,117650.9,3
572981.6,117609.8,0.2
578120,123337,0.2
575300,119037,0.2
571813.5,118214.4,0.01
575825,137074.4,0.01
571583.1,117803.5,0.2
