easting,northing,abundance
575139.3,121032.1,15
575297.8,130796,0.2
580097.2,136400.3,0.2
577800,125300,0.2
578594,125100.5,15
578699.1,136499.2,0.2
568503.8,137897.2,15
572791.1,130001,3
578501.7,125401.6,0.2
578624,124900.8,0.2
572299.3,120103,0.2
571100.3,118396.6,0.2
577799.6,126297,15
581200.3,137900,3
572399,130099.6,15
579600.8,135998.8,15
581600.9,135899.4,0.2
579600,125798.4,0.2
579000,125099.2,0.2
577599.3,125597.3,0.2
577601.9,137196.5,0.2
580390.8,131206.1,0.2
577953.2,126367.3,3
579864.5,125055.5,0.2
580291.9,125169.4,15
579205.6,125078.1,15
578037.6,126409,15
578004.2,125329.5,15
578224.5,126575.1,3
568331,137532,15
575167,137251,0.2
567773,136721.7,0.2
577700.1,127074,15
571297.1,118325.6,3
578370,137739,0.2
578399.3,126000.6,3
579281.6,124630.2,15
581176,136034,0.2
577903.9,125558.2,0.2
570842,118704.9,3
578352.6,125122.8,3
572325,119773,3
578505,123758,0.2
