easting,northing,abundance
573301.2,143804.4,3
567801.5,142493.6,0.2
579901.4,150996.2,3
578598.3,126794.5,0.2
577901.1,139199.6,0.2
574603.9,122198.4,3
576598.5,141304.5,3
577593.8,129095.2,3
577300.1,140801.2,3
564295.7,144405.6,0.2
573900.5,119998.2,0.2
575297.8,130796,3
575502.4,131701.7,15
575400.1,131097.7,3
568399.6,144601.2,0.2
580097.2,136400.3,0.2
575300,124700,0.2
580498.5,137599.3,0.2
579494,137398.3,15
577795.7,137395.5,0.2
578892.5,140400.4,0.2
577800,125300,3
579101.1,136303.5,0.2
582698.6,152999.7,15
572791.1,130001,0.2
576799,137001.5,3
579499.3,125899.1,15
579595.4,135895.9,0.2
575302.8,124296.6,0.2
571300.9,119198.1,0.2
573099.5,119599.5,3
582198.2,152691.8,3
573199.9,119600.8,0.2
577799.6,126297,0.2
575499.6,140299.8,3
580308.3,125895.5,0.2
579299.8,125801.8,15
580101.4,125999.7,0.2
579498.5,126100.5,0.2
579600,125798.4,0.01
579705.7,139600.7,3
579000.2,136502.1,0.2
572099,117900.4,0.2
579103.4,152501.4,0.2
579503.2,125604.8,3
568200.2,139899.8,0.2
571399.4,141299.9,0.2
576501.3,144798.9,15
581187.6,126615.4,0.2
579975.2,125451.3,0.2
579320.9,125692.3,3
580320.4,126280,0.2
579099.5,126315.5,3
578659,125442.1,3
579864.5,125055.5,0.01
579022.2,126207.6,3
580670.9,126348.4,0.2
578925.1,125419.7,0.2
580380.3,126279.7,15
579206.9,125090.7,0.2
567446,138626.5,0.2
564749.3,136624.1,0.2
578303.6,148842.6,3
583994,152783,0.01
573600,124274.2,0.2
583540,146251,0.01
566926.9,138078.1,3
576317,139872.7,0.01
583649.2,151723.5,0.2
575927.9,128449.8,0.2
583550,151349,3
571291.3,119649.5,0.2
578753.8,125899.1,0.2
577076.1,137874.7,37.5
581976.5,135748.4,0.2
574207.2,130257.2,0.2
582874,153225,15
576600.7,123898.4,0.2
582675.7,153675.5,0.2
576750.7,129474.4,0.2
578037.2,138218.7,15
582112.9,145111.3,3
576125,127300,0.01
578399.3,126000.6,0.2
577150,137549,3
577903.9,125558.2,3
576800,137648,3
570842,118704.9,0.01
575564.1,136336.5,3
577489,136515.8,0.01
578120,123337,0.2
579224.9,126601.5,0.2
571751,119856,0.2
580400,136150,3
578850.8,136647.6,3
