easting,northing,abundance
557747.6,149726.8,0.2
581301.7,150300.1,15
581699.8,150900.1,15
583602.3,147106,3
564607.9,133295.2,3
580303.3,151997.1,3
567801.5,142493.6,3
557469.5,147202.4,3
568600.9,124901.6,3
568803.1,140694.6,0.2
565500,137700,15
569599.4,122000,3
572198.7,124600.1,15
576198.7,143105.2,3
564800.2,137699.9,15
576503.9,143002.1,37.5
579901.4,150996.2,15
568100.1,142094.9,3
578502.8,140998.5,3
577901.1,139199.6,3
571572.9,123826,15
569697.1,121794.8,15
574603.9,122198.4,0.2
578101.7,140694.5,3
578403.1,139196.5,15
568801.8,142299.3,15
576598.5,141304.5,0.2
557682.6,150423.3,15
577300.1,140801.2,3
576098.9,148048.6,3
574897.8,143394.6,3
564295.7,144405.6,3
572092.5,148403.3,15
573900.5,119998.2,0.2
572999.6,147227.6,3
571122.5,124203,3
576200,143697.9,0.2
580903.4,141096.7,0.2
569696.8,138099.7,3
569100,136100,15
556973.9,147973.5,15
571325.6,123371.5,15
574599.1,147402.6,3
576899.2,135300.6,15
571491.2,136704.4,3
582903.8,148008.8,15
558697.6,151448.1,0.2
576401.6,145594.6,3
581102.6,147496.4,15
572499.3,142499.1,15
578009.1,135297,3
569596.2,118697.6,0.2
564005.6,135995.5,3
578901.5,145897.8,3
568343.2,126100.4,0.2
583295.3,147897.6,15
578801.4,145697,3
581299,141190.4,0.01
555900.3,148998.7,15
575600.5,142398.5,15
557699.9,149446.4,3
570601.6,126399.5,0.2
568699.4,126299.1,3
578499.4,146998.9,15
570501,134777.5,3
568199.1,126923.2,0.2
567494,129402.2,3
572202.6,124701.8,15
568325.9,130398.8,3
558229.8,148297.1,15
569189.5,133409.8,0.2
579502.3,146799.2,0.2
571000,122800,3
558928,150370.2,3
580001.8,147096.6,3
572201.4,133801.8,15
573001,147000.2,15
571098.2,146497.4,15
577501.2,145595,0.2
575796,129984.7,3
571051.1,146399.7,15
582198.2,152691.8,3
576399.9,128498.4,15
575600.6,138700.5,0.2
567217.1,119963.1,3
582302.9,146696.1,3
577001.9,144894.8,3
567203.5,121302.3,3
580599.6,151189.7,0.2
567201.5,121101.7,3
575301.1,128999.3,15
569400.3,131500.1,15
567795.9,120798.4,0.2
555805.8,146495.9,0.2
556075.3,145996.9,0.2
556700,145398.2,15
556500.7,147401.7,0.2
557399.3,148599,37.5
561029.3,142573.3,15
558901.4,144999.9,3
558901.9,145301.7,3
559400.1,144600.6,0.2
559298.5,146098.9,3
575499.6,140299.8,0.2
561650.3,144250.7,15
559399.1,146299.4,3
570525.5,133196.1,15
558978.9,150775.4,15
573528,145101.4,15
572496.9,147096.7,3
569772.6,134297.1,3
577197.6,133097,3
563606.7,140403,15
573303.3,146902.1,15
561305.9,142601.2,0.2
581700.8,147601.3,0.2
569001.5,124401.1,15
581610.7,147395.8,3
575301.5,143399.1,0.2
572599.1,146802.1,0.2
574750,146348.6,15
570709.9,122288.1,0.2
572004.8,148103.8,15
580596.6,133307,3
572196.4,137698.4,0.2
574702.8,143702,15
556700.3,149126.1,0.2
568200.2,139899.8,3
568000.3,127999.3,15
570099.3,141295.4,37.5
576501.3,144798.9,15
577904.8,141703.9,0.2
569696.8,142495.1,15
558686,150495,15
583827,148921,3
559682,150847,0.01
558221.8,151780,0.2
556686,150643,3
562926.6,133269.6,0.2
580123.9,147775.7,0.2
559406,146677,3
580304.8,147078.7,15
570227,145645.5,15
571280.1,145674.6,15
578147,147106,3
559038,146684,3
571199.4,133859.4,15
568421.6,142839.2,3
578231.9,145586.8,3
560161,149271,0.2
572682,125042,0.2
572983,133784,37.5
561319,149776,3
576651.2,141850.9,15
568125.1,143349.9,3
574025.1,144176.6,15
559727,148105,15
570883.7,134940.3,0.2
569848,128505,15
572997,122670,0.2
559050,148603,15
567680,143736,15
568019,143052,3
576905.09,148900,3
561475.5,144725.5,3
584904,150074,0.2
574649.8,146625,0.2
573300,134528,0.2
577525,148750,37.5
562009,145236,3
570871,147205,0.2
567446,138626.5,15
574024.6,140198.9,0.2
581075.5,153701.3,0.2
583099,147049,3
581123.8,146675.1,15
572858.6,140980,3
566924.1,139722.5,15
576273.4,144700.4,15
569700.8,144348.4,37.5
564749.3,136624.1,3
573001.4,137035,3
570286.3,136049.6,0.2
562625.6,146899.8,37.5
573572.4,136995.4,0.01
578303.6,148842.6,3
566303.8,138452.4,0.2
568688,129132,15
572540.2,144902.1,0.2
572073,144176,3
563219,146338,15
563896.2,147901,0.2
569802.4,136268.6,15
583275,149575,3
579785.7,145240.6,3
565411,134801,15
581476.3,153775.8,0.2
570945.2,139458.6,0.2
573425.2,142275.1,0.2
573600,124274.2,3
566926.9,138078.1,15
570972,121569,3
572492.6,137664,15
576317,139872.7,0.2
581297,134228,0.2
583649.2,151723.5,3
570375.4,121675.1,3
575927.9,128449.8,3
583550,151349,0.2
564950,143883,0.2
584775.4,154399.4,0.2
581077.6,151499,0.2
583335.4,145409.1,3
574207.2,130257.2,0.2
582874,153225,3
572793,124557,15
581351,151024.7,0.2
579224,140473,0.2
