easting,northing,abundance
576109.9,148415,0.01
570604.5,132301.6,0.2
560221,142970.2,0.2
578499.4,146998.9,0.2
567494,129402.2,0.2
571051.1,146399.7,0.2
569921,133567.9,0.2
568600.9,119913.3,0.01
561650.3,144250.7,0.2
573528,145101.4,0.2
572496.9,147096.7,0.2
571797.9,134653.8,0.2
570900,135200,0.2
581097,154305.9,0.2
560411,145333,0.2
569795,133252,0.2
569380.1,133056.7,3
568568.2,132126.2,3
559038,146684,0.2
570749.6,146998.7,0.01
568421.6,142839.2,0.2
578231.9,145586.8,0.2
561475.5,144725.5,0.2
573924.6,146424.8,0.2
573300,134528,0.01
570469.3,140698.1,0.2
579785.7,145240.6,0.2
570195,140281,0.01
572945.7,123049.8,0.2
