easting,northing,abundance
579304.5,153215.5,0
571298.5,137897.7,0
578000.1,127403.4,0
577051.3,151421.4,0.2
581099.6,141795.4,0
579004.1,125798.8,0
577204.5,128294.6,0
578598.3,126794.5,0
577593.8,129095.2,0
575297.8,130796,0
577703.7,128994.6,0
572600,130000,0
575502.4,131701.7,0
575400.1,131097.7,0
575300,124700,0
580498.5,137599.3,0
579494,137398.3,0
576598,138495.7,0
571897.7,120196.7,0
578594,125100.5,0
568503.8,137897.2,15
582698.6,152999.7,0.2
572791.1,130001,0
579499.3,125899.1,0
578798.1,152198.7,0.2
579595.4,135895.9,0
579202.5,127099.6,0
575302.8,124296.6,0
574896.5,148994.9,0
579695.7,135690.8,0
578501.7,125401.6,0
579300,127000,0
578699.1,135697.9,0
578009.1,135297,0
574598.3,136695.3,3
580599,130604.3,0
576392.2,136900,0
571300.9,119198.1,0
581994.8,140302.7,0.2
581989.9,139903.8,0.2
570696.1,117995.1,15
581299,141190.4,0.2
576997.9,128702.4,0
578685.1,124961.7,0
578624,124900.8,0.2
578000.8,124697.2,0
578429.1,126929.7,0
564902.3,135892.4,0
578097.3,126797.3,0
571511.9,138702,0
577187.2,123302.2,0
572299.3,120103,0
571100.3,118396.6,0
577503.1,127204.8,0
573105.7,118601.3,0
573099.5,119599.5,0
573103.4,118598.5,0.2
580700,126300,0
582198.2,152691.8,0
573199.9,119600.8,0
565503.8,139301.8,15
577799.6,126297,0
580198.9,125401,0
581200.3,137900,0
580308.3,125895.5,0
568401.1,137500.5,0
568600.2,137699.4,15
581495,141708.9,0
572790,119200,3
581800.3,139198.9,0
578800,142800,0
575699.4,127700.4,0
566801,141197.9,0
566274.6,141005.1,0
576801.2,125097.5,0
567797.4,136197.1,0
567699.5,135898.8,0
571502.8,137302.4,0
564297.7,142001.5,15
564401.8,142100,0
583702.1,145787.8,0
565777,140310.9,0.2
572399,130099.6,0
568001.2,137391.3,0
579801.1,125899.6,0
580200.6,125803.9,0
579299.8,125801.8,0
579600.8,135998.8,0
581602.6,136003.3,0
579599.3,126198.6,15
580600,126400.7,0
566496.5,134101.5,15
580101.4,125999.7,0
581600.9,135899.4,0
579498.5,126100.5,0
579705.7,139600.7,0
579000,125099.2,0
577599.3,125597.3,0
571084.2,137391.7,0
578503.8,144203.7,0
578357.6,143628.6,0
581701.1,141200.9,0.2
571003.2,130794.3,15
567504.8,137198.5,0
581701.1,141098.5,0.2
577197.4,151400.4,0
580700.2,126000.6,0
566600,134402,0
577098.6,151397,0
579103.4,152501.4,0
572196.4,137698.4,3
579503.2,125604.8,0.2
580602.7,125896.4,15
567400,136200,0
567598.2,141003.6,0.01
579493.24,127048.15,3
579149.56,126813.48,0
578454.92,127133.81,0
578503.27,127285.06,0
578439.11,127104.02,3
578480.98,127199.27,0
577231,125337,0
577095,125563,0
576486,125157,0
577191,125438,0
580384,126010,3
580205,125430,0
581187.6,126615.4,0
579320.9,125692.3,0
579713.3,126380.6,0
577953.2,126367.3,0
579850.8,126387.2,0
580320.4,126280,0
579099.5,126315.5,0
579966.4,126392.9,0
578659,125442.1,0
579856.2,126390.9,0
579059.7,125383.8,0
577877,126293.4,0
580710.1,126347,0
579022.2,126207.6,0
580670.9,126348.4,0
580291.9,125169.4,0
579896.4,125666.6,0.01
578925.1,125419.7,0
578146.2,125630.2,0
580927.4,126331,0.2
580380.3,126279.7,0
578957.5,126397.4,0
577374,127611,0
577798.1,127536.7,0
579205.6,125078.1,0
578037.6,126409,0
579206.9,125090.7,0
578626.6,127191.4,3
575697,135312,0
576497,123186,0
583550,151349,0
573652.6,132433.2,0
574725,121175.5,3
571291.3,119649.5,3
581379.7,137749.9,0
578753.8,125899.1,0.01
583335.4,145409.1,0
580525.8,137224.8,0
577446.5,124252,0
577174.9,138100,0
577076.1,137874.7,0
573075.3,130849,0
581976.5,135748.4,0
576974.5,123426.3,0.2
574207.2,130257.2,0
579550,152800,3
568181,137004,0
578224.5,126575.1,0
568331,137532,0.2
567397,135231,0
582874,153225,0
582975.2,153650,0
576600.7,123898.4,0
575526.4,124591.1,0
581525,145327,0
570326,118574.8,0
573268.3,130105.2,0
582675.7,153675.5,0
575167,137251,0
576750.7,129474.4,0
578037.2,138218.7,0
567800.8,137174,0
573339,121070,3
584078.3,155077.5,15
571250.6,131047.4,0
580000,153749,0
565100,142293,3
577349.5,124601.4,3
581550,141975,0
575725,123575.3,3
580599,142450,3
580949.8,137675.4,0
570204.8,117051.6,0
579360,138513,0
570629.3,117628.7,15
567773,136721.7,0.2
578921.2,137373.2,0
582112.9,145111.3,0
576125,127300,0
573152.8,117996.8,0
578399.3,126000.6,0
578550.1,125700.3,0
566724.3,135125.3,0
577150,137549,0
581176,136034,0.01
580999.9,126550.1,15
580927.5,126009.9,0
567825.3,136499.5,15
577903.9,125558.2,0.2
576102,121726,0
576800,137648,0
570842,118704.9,0
578402,137444,0
564479,142336,3
581401,144503,0
580477,132142,0
575825,137074.4,0
581882,132197,0
579224.9,126601.5,0.2
572299.1,120848.7,0
572671.6,119804.4,3
